,ĐÁNH GIÁ TUÂN THỦ BẢO VỆ DỮ LIỆU — 40 câu hỏi · 6 nhóm

,Chấm điểm trung thực: Đầy đủ = Đã làm đầy đủ; Một phần = Làm một phần; Chưa làm = Chưa làm; N/A = Không áp dụng. Đối chiếu với PDPL 2025 & Nghị định 356/2025. Phần đào tạo chuyên sâu cùng chuyên gia Data Protectify.

,NHÓM,CÂU HỎI / THỰC HÀNH,ĐIỂM (Đầy đủ/Một phần/Chưa làm/N/A),RỦI RO NẾU CHƯA LÀM,THAM CHIẾU PHÁP LÝ / GHI CHÚ
,Thu thập & Đồng ý,"DN có xác định rõ những loại dữ liệu cá nhân nào đang thu thập (nhân viên, ứng viên, NCC, khách B2B) không?",,CAO — Không biết mình giữ dữ liệu gì = không thể bảo vệ,Luật BVDLCN 2025 (minh bạch)
,,DN chỉ thu thập dữ liệu thực sự cần thiết cho mục đích cụ thể (tối thiểu hóa) không?,,CAO — Thu thập thừa làm tăng rủi ro & trách nhiệm,PDPL (tối thiểu hóa dữ liệu)
,,DN có lấy sự đồng ý rõ ràng của người lao động/ứng viên trước khi thu thập & xử lý dữ liệu không?,,NGHIÊM TRỌNG — Xử lý không có cơ sở pháp lý là vi phạm,PDPL (đồng ý)
,,"Với dữ liệu sinh trắc học chấm công (vân tay/khuôn mặt), DN có xử lý như dữ liệu NHẠY CẢM với đồng ý riêng không?",,"NGHIÊM TRỌNG — Dữ liệu sinh trắc là dữ liệu nhạy cảm, yêu cầu bảo vệ cao hơn",PDPL (dữ liệu nhạy cảm)
,,DN có thông báo cho cá nhân về mục đích xử lý tại thời điểm thu thập không?,,CAO — Thu thập ngầm vi phạm nguyên tắc minh bạch,PDPL (minh bạch)
,,DN có cơ chế để cá nhân rút lại sự đồng ý không?,,CAO — Không cho rút đồng ý là vi phạm quyền chủ thể,PDPL (quyền chủ thể)
,,"DN có biện pháp bảo vệ tăng cường khi xử lý dữ liệu của nhóm đặc biệt (trẻ em, người hạn chế năng lực) không?",,CAO — Nhóm đặc biệt được bảo vệ tăng cường,PDPL (nhóm đặc biệt)
,Cơ sở pháp lý & Minh bạch,DN có chính sách quyền riêng tư (privacy policy) bằng văn bản & dễ tiếp cận không?,,CAO — Thiếu chính sách = thiếu minh bạch & cơ sở tuân thủ,PDPL (minh bạch)
,,Mỗi hoạt động xử lý dữ liệu có cơ sở pháp lý rõ ràng (đồng ý / hợp đồng / nghĩa vụ pháp lý) không?,,NGHIÊM TRỌNG — Xử lý không có cơ sở pháp lý là vi phạm,PDPL (cơ sở xử lý)
