,,,,,
,🌿 ENVIRONMENT — Service & F&B SMEs,,,,
,,,,,
,Score each question: 0 = Not in place  |  1 = Partially in place  |  2 = Fully in place,,,,
,,,,,
,TOPIC AREA,QUESTION / PRACTICE,"SCORE
(0–2)",BUSINESS RISK IF NOT DONE,NOTES / EVIDENCE
,"♻️ Waste Generation
& Handling
(PRIORITY)","Do you separate waste by type (food waste, recyclables, general waste) at each outlet?",,Fines from waste authority inspections; disposal costs spiral; reputational damage if waste seen by customers,
,,Do you track how much food waste your business generates per week?,,Hidden cost leakage; inability to reduce waste without measuring it,
,,Do you have a relationship with a licensed waste collector or recycler?,,Legal non-compliance; potential environmental penalty; negative brand image,
,,Do you train frontline staff on correct waste sorting and disposal procedures?,,Inconsistent execution leads to contaminated waste streams and failed audits,
,,Have you taken steps to reduce single-use plastics or packaging in the last 12 months?,,Growing customer expectation and incoming regulation; competitive disadvantage,
,"⚡ Energy Consumption
& Efficiency
(PRIORITY)",Do you track your monthly electricity bill per outlet and compare month-on-month?,,No visibility = no control; energy typically 15–25% of operating costs for F&B/hospitality,
,,"Do equipment operators (kitchen, laundry, HVAC) follow switch-off or energy-saving protocols?",,"Preventable utility waste; estimated 10–20% energy saving possible with basic habits. Preventable workplace hazards, incidents, injuries related to electricity. ",
,,Have you switched to LED lighting or energy-efficient equipment in the past 2 years?,,Higher long-term operating costs; missed savings that compound over time,
,,Is there a person responsible for monitoring and reporting on energy use?,,No accountability means no improvement; energy issues persist indefinitely,
,"💧 Water Use
& Management",Do you monitor monthly water consumption and compare against previous periods?,,Undetected leaks and overuse; water bills that cannot be explained or reduced,
,,"Do kitchen and housekeeping staff follow water-saving procedures (e.g. for dishwashing, laundry)?",,Significant unnecessary water consumption; cost overruns especially in large hotels,
,,Do you have processes to detect and fix leaks quickly?,,A single undetected leak can waste thousands of litres per month,
,🌡️ GHG Awareness,"Are you aware of the greenhouse gas emissions most relevant to your type of business (e.g. gas cooking, refrigerants, transport)?",,Blind spot for upcoming regulation and customer/partner disclosure requirements,
,,"Have you considered any actions to reduce emissions (e.g. switching fuels, optimising delivery routes)?",,Missed early-mover advantage; future compliance costs higher if left too late,
,,,,,
,TOTAL SCORE  (🌿 Environment),,0,Max possible: 28,
