,,,,,,
,CƠ HỘI TIẾT KIỆM NĂNG LƯỢNG (ROI FINDER),,,,,
,,,,,,
,Nhập chi phí đầu tư & ước tính tiết kiệm/năm cho từng giải pháp. Bảng tự tính thời gian hoàn vốn & xếp ưu tiên. Đây là công cụ cho thấy ROI rõ nhất.,,,,,
,,,,,,
,GIẢI PHÁP (kèm % tiết kiệm điển hình),MỨC ĐẦU TƯ,CHI PHÍ ĐẦU TƯ (VNĐ),TIẾT KIỆM/NĂM (VNĐ),HOÀN VỐN (năm),ƯU TIÊN
,Thay đèn LED + cảm biến (~50–70% điện chiếu sáng),Thấp,,,,
,Tối ưu nhiệt độ điều hòa 25–26°C & bảo trì (~5–15%),Thấp,,,,
,Gioăng kín + rèm PVC + xả đá kho lạnh/tủ đông (~10–20% điện làm lạnh),Thấp,,,,
,Lịch bật-tắt thiết bị bếp theo nhu cầu (~10–20%),Thấp,,,,
,Biến tần/cảm biến cho máy hút mùi & thông gió (~20–40%),Trung bình,,,,
,"Dịch tải (làm đá, giặt, sạc) sang giờ thấp điểm",Thấp,,,,
,Bảo trì định kỳ thiết bị bếp & làm lạnh,Thấp,,,,
,Thiết bị bếp/làm lạnh dán nhãn tiết kiệm khi thay mới,Trung bình,,,,
,Điện mặt trời mái nhà tự sản tự tiêu,Cao,,,,
,Bù hệ số công suất / quản lý công suất đỉnh,Trung bình,,,,
,TỔNG TIỀM NĂNG TIẾT KIỆM / NĂM (VNĐ),,,0,,
