,,,,,,
,KẾ HOẠCH HÀNH ĐỘNG 90 NGÀY,,,,,
,,,,,,
,9 hành động khởi đầu đã gợi ý sẵn (có thể chỉnh sửa). Chuyên gia Eco Solutions sẽ rà soát cùng bạn theo mốc 30/60/90 ngày.,,,,,
,,,,,,
,MỨC ƯU TIÊN,LĨNH VỰC,HÀNH ĐỘNG CỤ THỂ,NGƯỜI PHỤ TRÁCH,THỜI HẠN,TIÊU CHÍ HOÀN THÀNH / TRẠNG THÁI
,🔴 Quan trọng,Rác nguy hại,"Tách & lưu trữ riêng toàn bộ rác nguy hại (dầu, hóa chất, pin) trong khu có mái che, dán nhãn đúng quy định.",,Ngày 30,"Khu lưu CTNH đạt chuẩn, có nhãn & mã"
,🔴 Quan trọng,Nhà thầu,Thu thập & lưu bản sao giấy phép hành nghề + manifest rác nguy hại của nhà thầu; lưu hồ sơ 3 năm.,,Ngày 30,Có đủ giấy phép & chứng từ cho 2 kỳ thu gom liên tiếp
,🔴 Quan trọng,Ô nhiễm,Kiểm tra hệ thống xử lý nước thải & quan trắc định kỳ đạt QCVN; khắc phục điểm vượt ngưỡng.,,Ngày 60,Kết quả quan trắc đạt quy chuẩn
,🟡 Cần làm,Phân loại,Thiết lập hệ thống phân loại 3 nhóm tại mọi khu vực; dán nhãn & đào tạo công nhân.,,Ngày 45,Phân loại đúng tại 100% khu vực sau 2 tuần kiểm tra
,🟡 Cần làm,Giảm thiểu,Xác định 3 nguồn phế liệu lớn nhất từ Bản đồ Rác thải; lập biện pháp giảm cho từng nguồn.,,Ngày 60,Có kế hoạch giảm cho top 3 nguồn phế liệu
,🟡 Cần làm,EPR,Rà soát doanh thu & loại bao bì để xác định nghĩa vụ EPR; lập kế hoạch tuân thủ nếu thuộc diện.,,Ngày 60,Xác định rõ có/không thuộc diện EPR & bước tiếp theo
,🟢 Làm ngay,Bản đồ Rác,Hoàn thành Bản đồ Rác thải & tính tổng chi phí rác/tháng.,,Ngày 7,"Bản đồ Rác hoàn chỉnh, biết tổng chi phí"
,🟢 Làm ngay,Tái chế,Tách & bán phế liệu tái chế (kim loại/nhựa/giấy) cho đơn vị tái chế hợp pháp.,,Ngày 14,Có nguồn thu từ phế liệu tái chế
,🟢 Làm ngay,Phân công,Chỉ định 1 người chịu trách nhiệm quản lý rác cho toàn nhà máy.,,Ngày 7,Đã có người phụ trách rõ ràng
,,,,,,
,MỐC RÀ SOÁT CÙNG CHUYÊN GIA,,,,,
,MỐC,TRỌNG TÂM,NGÀY HỌP,GHI CHÚ CỦA CHUYÊN GIA,,
,30 ngày,"Nền tảng: phân loại, nhà thầu hợp lệ, hồ sơ",,,,
,60 ngày,"Hệ thống: theo dõi khối lượng & chi phí, đào tạo",,,,
,90 ngày,Chuẩn hóa: mục tiêu giảm thiểu & cải tiến liên tục,,,,
