,BẢN ĐỒ DỮ LIỆU CÁ NHÂN — NGÀNH SẢN XUẤT

,Ghi lại MỌI loại dữ liệu cá nhân doanh nghiệp đang thu thập. Đây là nền tảng của mọi nghĩa vụ tuân thủ — không biết mình giữ dữ liệu gì thì không thể bảo vệ.

,LOẠI DỮ LIỆU CÁ NHÂN,Nguồn thu thập,Mục đích xử lý,Cơ sở pháp lý,Nhạy cảm?,Nơi lưu trữ,Ai có quyền truy cập,Thời gian lưu,Chia sẻ / Bên thứ ba,Chuyển ra nước ngoài?
,"Hồ sơ nhân viên (tên, CCCD, lương, BHXH)",,,,,,,,,
,Hợp đồng lao động & hồ sơ HR,,,,,,,,,
,Dữ liệu chấm công sinh trắc học (vân tay/khuôn mặt),,,,Có,,,,,
,Hồ sơ sức khỏe / khám sức khỏe người lao động,,,,Có,,,,,
,Hồ sơ ứng viên tuyển dụng,,,,,,,,,
,Dữ liệu liên hệ nhà cung cấp / nhà thầu,,,,,,,,,
,Dữ liệu liên hệ khách hàng B2B,,,,,,,,,
,Hình ảnh camera giám sát (CCTV),,,,Có,,,,,
,Dữ liệu khách tham quan / ra vào nhà máy,,,,,,,,,
,Dữ liệu marketing / liên hệ B2B,,,,,,,,,

,"Lưu ý: dữ liệu sinh trắc học, sức khỏe, hình ảnh, thông tin tài khoản, hành vi/định vị… là DỮ LIỆU NHẠY CẢM — yêu cầu đồng ý riêng & bảo vệ tăng cường (PDPL)."
