,,,,,
,🏛 QUẢN TRỊ — SME Sản xuất,,,,
,,,,,
,Chấm điểm: 0 = Chưa có  |  1 = Một phần  |  2 = Đã có đầy đủ,,,,
,,,,,
,LĨNH VỰC,CÂU HỎI / THỰC HÀNH,"ĐIỂM
(0–2)",RỦI RO KINH DOANH NẾU KHÔNG LÀM,GHI CHÚ / BẰNG CHỨNG
,"🔐 Tuân thủ
về dữ liệu
(ƯU TIÊN)","Bạn có thu thập & lưu trữ dữ liệu khách hàng, NCC hoặc nhân viên không? Nếu có, quyền truy cập có được giới hạn & bảo mật không?",,Rò rỉ dữ liệu; vi phạm Nghị định 13/2023 về bảo vệ dữ liệu cá nhân; trách nhiệm dân sự và hành chính,
,,Bạn có quy trình sao lưu & phục hồi dữ liệu cơ bản không?,,"Mất vĩnh viễn hồ sơ kinh doanh do mã độc, hỏng phần cứng hoặc hỏa hoạn",
,,"Nhân viên có được đào tạo về bảo mật dữ liệu cơ bản (quản lý mật khẩu, không chia sẻ tài khoản) không?",,Rò rỉ nội bộ; gian lận; mất bí mật kinh doanh,
,"⚖️ Quản lý rủi ro pháp lý
& Tuân thủ
(ƯU TIÊN)","Tất cả giấy phép hoạt động (ĐKKD, giấy phép môi trường, PCCC) có còn hiệu lực không?",,Rủi ro bị đình chỉ; bị phạt; không đủ điều kiện hoạt động hợp pháp,
,,"Bạn có cách theo dõi thời hạn của giấy phép, chứng nhận, hồ sơ pháp lý không?",,Hết hạn chỉ bị phát hiện khi thanh tra; tuân thủ bị động tốn kém hơn chủ động,
,,Bạn có thực hiện rà soát tuân thủ nội bộ ít nhất mỗi năm một lần không?,,Khoảng trống tuân thủ tích lũy; mức phạt leo thang khi bị phát hiện,
,,Bạn có nắm các quy định ESG có khả năng ảnh hưởng đến ngành mình trong 2–3 năm tới không?,,Không chuẩn bị cho yêu cầu sắp tới; thay đổi bị động tốn kém và gây gián đoạn hơn,
,"📣 Gắn kết khách hàng
& các bên liên quan","Bạn có quy trình chuẩn để tiếp nhận, phản hồi & theo dõi khiếu nại của khách hàng không?",,Khiếu nại lặp lại không được xử lý; mất khách hàng; truyền miệng tiêu cực,
,,"Bạn có truyền thông về chất lượng, an toàn sản phẩm hoặc nỗ lực cải tiến tới khách hàng / khách mua không?",,Bỏ lỡ cơ hội xây dựng niềm tin với khách mua và giảm tần suất kiểm toán,
,"🚫 Phòng chống
tham nhũng & Đạo đức","Nhân viên mua hàng có hiểu thế nào là xung đột lợi ích, quà tặng không phù hợp, chi phí bôi trơn không?",,Gian lận mua hàng; chi phí đầu vào bị đẩy cao; rủi ro pháp lý cho doanh nghiệp,
,,Bạn có bộ quy tắc ứng xử cơ bản được truyền đạt tới toàn thể nhân viên không?,,Hành vi sai phạm không bị kiểm soát; khó xử lý kỷ luật khi thiếu chuẩn mực bằng văn bản,
,,,,,
,TỔNG ĐIỂM  (🏛 QUẢN TRỊ),,0,Điểm tối đa: 22,
