,,,,,,,
,BẢN ĐỒ RÁC THẢI — NGÀNH SẢN XUẤT,,,,,,
,,,,,,,
,Liệt kê MỌI dòng rác thải doanh nghiệp phát sinh. Ước tính khối lượng và chi phí — đa số doanh nghiệp lần đầu nhìn thấy tổng chi phí thật của rác thải.,,,,,,
,,,,,,,
,LOẠI RÁC THẢI,PHÂN NHÓM,"KL ƯỚC TÍNH
(kg/tháng)",PHƯƠNG THỨC XỬ LÝ HIỆN TẠI,ĐƠN VỊ THU GOM,TUÂN THỦ?,"CHI PHÍ ƯỚC TÍNH
(VNĐ/tháng)"
,Phế liệu kim loại,Tái chế,,,,,
,Phế liệu nhựa sản xuất,Tái chế,,,,,
,Vải vụn / phế liệu dệt,Tái chế,,,,,
,Phế liệu gỗ / mùn cưa,Tái chế,,,,,
,Phế liệu giấy / bìa carton,Tái chế,,,,,
,Bao bì nguyên vật liệu đầu vào,Tái chế,,,,,
,Pallet hỏng,Tái chế,,,,,
,Sản phẩm lỗi / hàng hủy,Thường,,,,,
,Bùn thải từ xử lý nước thải,Nguy hại,,,,,
,Dầu thải / dầu nhớt đã qua sử dụng,Nguy hại,,,,,
,Dung môi / hóa chất thải,Nguy hại,,,,,
,Giẻ lau dính dầu / hóa chất,Nguy hại,,,,,
,Pin / ắc quy thải,Nguy hại,,,,,
,Bóng đèn huỳnh quang thải,Nguy hại,,,,,
,Thiết bị điện tử thải (WEEE),Nguy hại,,,,,
,Rác thải sinh hoạt / văn phòng,Thường,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,TỔNG CHI PHÍ RÁC THẢI / THÁNG (VNĐ),,,,,,0
,TỔNG CHI PHÍ RÁC THẢI / NĂM (VNĐ),,,,,,0
