,,,,,,
,KẾ HOẠCH HÀNH ĐỘNG 90 NGÀY,,,,,
,,,,,,
,9 hành động khởi đầu đã gợi ý sẵn (có thể chỉnh sửa). Chuyên gia Eco Solutions sẽ rà soát cùng bạn theo mốc 30/60/90 ngày.,,,,,
,,,,,,
,MỨC ƯU TIÊN,LĨNH VỰC,HÀNH ĐỘNG CỤ THỂ,NGƯỜI PHỤ TRÁCH,THỜI HẠN,TIÊU CHÍ HOÀN THÀNH / TRẠNG THÁI
,🔴 Quan trọng,Dầu/mỡ thải,Ký hợp đồng với đơn vị thu gom dầu ăn thải hợp pháp; vệ sinh bẫy mỡ định kỳ; ngừng đổ dầu/mỡ xuống cống.,,Ngày 30,Có hợp đồng thu gom dầu thải + lịch vệ sinh bẫy mỡ
,🔴 Quan trọng,Vệ sinh,Tách khu lưu rác khỏi khu chế biến; thiết lập kiểm soát côn trùng định kỳ.,,Ngày 30,"Khu rác đạt chuẩn vệ sinh, có lịch diệt côn trùng"
,🔴 Quan trọng,Nhà thầu,Thu thập & lưu giấy phép + chứng từ của đơn vị thu gom; lưu hồ sơ 3 năm.,,Ngày 45,Có đủ giấy phép & chứng từ cho 2 kỳ liên tiếp
,🟡 Cần làm,Phân loại,Thiết lập phân loại 3 nhóm tại bếp/khu khách/khu rửa; dán nhãn & đào tạo nhân viên.,,Ngày 45,Phân loại đúng tại 100% khu vực sau 2 tuần kiểm tra
,🟡 Cần làm,Food waste,Bắt đầu theo dõi food waste hằng tuần theo nguồn; xác định nguồn lớn nhất tuần 1.,,Ngày 14,Xác định được nguồn food waste lớn nhất
,🟡 Cần làm,FIFO,Áp dụng kiểm tra FIFO hằng ngày; phân công người phụ trách xoay vòng kho.,,Ngày 30,Checklist FIFO hoàn thành mỗi ngày trong 2 tuần
,🟢 Làm ngay,Bản đồ Rác,Hoàn thành Bản đồ Rác thải & tính tổng chi phí rác/tháng.,,Ngày 7,"Bản đồ Rác hoàn chỉnh, biết tổng chi phí"
,🟢 Làm ngay,Nhựa,Rà soát vật phẩm nhựa dùng một lần; chọn 1–2 món thay thế trong 90 ngày.,,Ngày 45,Đã thay ít nhất 1 vật phẩm nhựa dùng một lần
,🟢 Làm ngay,Phân công,Chỉ định 1 người chịu trách nhiệm quản lý rác cho mỗi điểm bán.,,Ngày 7,Đã có người phụ trách rõ ràng
,,,,,,
,MỐC RÀ SOÁT CÙNG CHUYÊN GIA,,,,,
,MỐC,TRỌNG TÂM,NGÀY HỌP,GHI CHÚ CỦA CHUYÊN GIA,,
,30 ngày,"Nền tảng: phân loại, nhà thầu hợp lệ, hồ sơ",,,,
,60 ngày,"Hệ thống: theo dõi khối lượng & chi phí, đào tạo",,,,
,90 ngày,Chuẩn hóa: mục tiêu giảm thiểu & cải tiến liên tục,,,,
