,,
,ESG QUICK SCAN — NGÀNH SẢN XUẤT,
,,
,Doanh nghiệp sản xuất · Nhà máy · Xưởng  |  Module A,
,,
,Dear Our Community  ·  v1.0  ·  2026,
,,
,CÔNG CỤ NÀY LÀM GÌ,
,"Công cụ Quét nhanh (Quick Scan) này đánh giá mức độ sẵn sàng ESG của doanh nghiệp sản xuất trên các khía cạnh: nguyên vật liệu & mua hàng, vận hành nhà máy, lực lượng lao động và quản trị.",
,Được thiết kế cho các doanh nghiệp vừa và nhỏ (SME) trong lĩnh vực sản xuất tại Việt Nam — không nhằm phục vụ kiểm toán tuân thủ xuất khẩu.,
,Hoàn thành trong 25–35 phút. Kết quả giúp xác định các lĩnh vực ESG ưu tiên cần hành động trong 3–6 tháng tới.,
,,
,CÁCH SỬ DỤNG CÔNG CỤ,
,Bước 1,Điền thông tin doanh nghiệp tại trang '🏢 Hồ sơ DN'.
,Bước 2,"Thực hiện lần lượt từng trụ cột: 🌿 Môi trường, 👥 Xã hội, 🏛 Quản trị."
,Bước 3,"Chấm điểm mỗi câu hỏi bằng danh sách thả xuống: 0 = Chưa có, 1 = Một phần, 2 = Đã có đầy đủ."
,Bước 4,Xem trang '📊 Bảng kết quả' — các lĩnh vực ưu tiên được xác định tự động.
,Bước 5,Hoàn thành Kế hoạch hành động 3–6 tháng cùng đội ngũ của bạn.
,,
,HƯỚNG DẪN CHẤM ĐIỂM,
,0 — Chưa có,Doanh nghiệp chưa thực hiện việc này.
,1 — Một phần,Đã bắt đầu nhưng chưa đồng bộ hoặc chưa đầy đủ.
,2 — Đầy đủ,Được áp dụng nhất quán và có lưu hồ sơ.
