,,,,,
,BẢN ĐỒ NĂNG LƯỢNG — NGÀNH SẢN XUẤT,,,,
,,,,,
,Phần A: nhập tiêu thụ điện & nước 12 tháng. Phần B: phân bổ chi phí điện theo hệ thống để tìm 'điểm nóng' tốn điện nhất.,,,,
,,,,,
,PHẦN A — TIÊU THỤ ĐIỆN & NƯỚC 12 THÁNG,,,,
,THÁNG,ĐIỆN (kWh),TIỀN ĐIỆN (VNĐ),NƯỚC (m³),TIỀN NƯỚC (VNĐ)
,Tháng 1,,,,
,Tháng 2,,,,
,Tháng 3,,,,
,Tháng 4,,,,
,Tháng 5,,,,
,Tháng 6,,,,
,Tháng 7,,,,
,Tháng 8,,,,
,Tháng 9,,,,
,Tháng 10,,,,
,Tháng 11,,,,
,Tháng 12,,,,
,CẢ NĂM,0,0,0,0
,Đơn giá điện bình quân (VNĐ/kWh),0,Chi phí điện bình quân/tháng (VNĐ),0,
,,,,,
,PHẦN B — PHÂN BỔ CHI PHÍ ĐIỆN THEO HỆ THỐNG,,,,
,HỆ THỐNG / HẠNG MỤC,% PHÂN BỔ,CHI PHÍ ƯỚC TÍNH/THÁNG (VNĐ),,
,Máy móc / dây chuyền sản xuất,,0,,
,Máy nén khí (compressed air),,0,,
,Động cơ & bơm,,0,,
,Điều hòa / làm mát (HVAC/Chiller),,0,,
,Chiếu sáng,,0,,
,Quạt / thông gió,,0,,
,Lò / thiết bị gia nhiệt,,0,,
,Văn phòng & khu phụ trợ,,0,,
,Khác,,0,,
,TỔNG CỘNG (nên = 100%),0%,0,,
