,,,,,
,🌿 MÔI TRƯỜNG — SME Dịch vụ F&B,,,,
,,,,,
,Chấm điểm: 0 = Chưa có  |  1 = Một phần  |  2 = Đã có đầy đủ,,,,
,,,,,
,LĨNH VỰC,CÂU HỎI / THỰC HÀNH,"ĐIỂM
(0–2)",RỦI RO KINH DOANH NẾU KHÔNG LÀM,GHI CHÚ / BẰNG CHỨNG
,"♻️ Phát sinh &
Xử lý rác thải
(ƯU TIÊN)","Bạn có phân loại rác theo loại (rác thực phẩm, tái chế, rác thường) tại mỗi điểm bán không?",,Bị phạt khi thanh tra; chi phí xử lý tăng; ảnh hưởng hình ảnh nếu khách thấy rác,
,,Bạn có theo dõi lượng rác thực phẩm phát sinh mỗi tuần không?,,Rò rỉ chi phí ẩn; không thể giảm rác nếu không đo lường,
,,Bạn có hợp tác với đơn vị thu gom / tái chế có giấy phép không?,,Không tuân thủ pháp luật; có thể bị xử phạt môi trường; hình ảnh thương hiệu tiêu cực,
,,Bạn có đào tạo nhân viên tuyến đầu về phân loại & xử lý rác đúng cách không?,,Thực hiện không đồng bộ làm nhiễm bẩn dòng rác và không đạt khi kiểm tra,
,,Trong 12 tháng qua bạn có giảm nhựa dùng một lần hoặc bao bì không?,,Kỳ vọng khách hàng và quy định đang tăng; bất lợi cạnh tranh nếu chậm chân,
,"⚡ Tiêu thụ & Hiệu quả
năng lượng
(ƯU TIÊN)",Bạn có theo dõi hóa đơn điện hằng tháng theo từng điểm bán và so sánh giữa các tháng không?,,Không nhìn thấy = không kiểm soát; năng lượng thường chiếm 15–25% chi phí vận hành F&B,
,,"Nhân viên vận hành thiết bị (bếp, thiết bị lạnh, điều hòa) có tuân thủ quy tắc tắt máy / tiết kiệm năng lượng không?",,Lãng phí tiện ích; có thể tiết kiệm 10–20% năng lượng nhờ thói quen cơ bản; rủi ro an toàn điện,
,,Trong 2 năm qua bạn có chuyển sang đèn LED hoặc thiết bị tiết kiệm năng lượng không?,,Chi phí vận hành dài hạn cao hơn; bỏ lỡ khoản tiết kiệm tích lũy theo thời gian,
,,Có người chịu trách nhiệm theo dõi & báo cáo về tiêu thụ năng lượng không?,,Không có trách nhiệm thì không có cải thiện; vấn đề năng lượng kéo dài,
,"💧 Sử dụng &
Quản lý nước",Bạn có theo dõi lượng nước tiêu thụ hằng tháng và so sánh với kỳ trước không?,,Rò rỉ và lạm dụng không bị phát hiện; hóa đơn nước không giải thích hay giảm được,
,,"Nhân viên bếp có tuân thủ quy trình tiết kiệm nước (rửa chén, sơ chế) không?",,"Tiêu thụ nước lãng phí đáng kể; vượt chi phí, nhất là cơ sở quy mô lớn",
,,Bạn có quy trình phát hiện & sửa rò rỉ nhanh chóng không?,,Một điểm rò rỉ không phát hiện có thể lãng phí hàng nghìn lít mỗi tháng,
,"🌡️ Nhận thức
về khí thải","Bạn có nhận biết các nguồn phát thải liên quan đến loại hình của mình (bếp gas, môi chất lạnh, vận chuyển) không?",,Điểm mù cho quy định sắp tới và yêu cầu công bố từ khách hàng / đối tác,
,,"Bạn đã cân nhắc hành động giảm phát thải (đổi nhiên liệu, tối ưu tuyến giao hàng) chưa?",,Bỏ lỡ lợi thế tiên phong; chi phí tuân thủ cao hơn nếu để quá muộn,
,,,,,
,TỔNG ĐIỂM  (🌿 MÔI TRƯỜNG),,0,Điểm tối đa: 28,
