,,,,,
,ĐÁNH GIÁ THỰC HÀNH QUẢN LÝ RÁC THẢI — 40 câu hỏi · 6 nhóm,,,,
,,,,,
,Chấm điểm trung thực:  ✓ = Đã làm đầy đủ   △ = Làm một phần   ✗ = Chưa làm   N/A = Không áp dụng. Đây là phần đào tạo chuyên sâu cùng chuyên gia — không phải bảng tự điền.,,,,
,,,,,
,NHÓM,CÂU HỎI / THỰC HÀNH,"ĐIỂM
(✓/△/✗/N/A)",RỦI RO NẾU CHƯA LÀM,THAM CHIẾU PHÁP LÝ / GHI CHÚ
,"♻️ Phân loại
& Tách rác
tại nguồn","DN có phân loại rác thành ít nhất 3 nhóm: hữu cơ, tái chế và rác thường không?",,NGHIÊM TRỌNG — Rác trộn lẫn không thể tái chế; rủi ro xử lý sai quy định; chi phí nhà thầu cao hơn,Nghị định 45/2022/NĐ-CP (bắt buộc phân loại từ 01/01/2025)
,,"DN có tách riêng phế liệu sản xuất (kim loại, nhựa, gỗ, vải) theo từng loại để tái chế/bán không?",,CAO — Phế liệu trộn lẫn mất giá trị thu hồi; bỏ lỡ nguồn thu,Tối ưu chi phí & kinh tế tuần hoàn
,,"Rác nguy hại (dầu thải, hóa chất, giẻ dính dầu, pin) có được tách hoàn toàn khỏi rác thường không?",,NGHIÊM TRỌNG — Trộn rác nguy hại với rác thường là vi phạm pháp luật; rủi ro phạt nặng,Luật BVMT 2020; Thông tư 02/2022/TT-BTNMT
,,"Thùng/khu phân loại có được dán nhãn rõ ràng, đặt đúng vị trí, dễ tiếp cận cho công nhân không?",,CAO — Thùng không nhãn = phân loại không xảy ra dù có chính sách,Tuân thủ thực tế
,,"Toàn bộ công nhân (kể cả thời vụ, mới) có biết bỏ loại rác nào vào thùng nào không?",,CAO — Kiến thức chỉ ở vài người; phân loại thiếu nhất quán làm hỏng cả hệ thống,Đào tạo & tuân thủ
,,Việc phân loại có được giám sát/kiểm tra ít nhất hằng tuần không?,,TRUNG BÌNH — Không giám sát thì tuân thủ suy giảm; nhiễm bẩn dòng tái chế tăng,Quản lý nội bộ
,,DN có đăng ký chủ nguồn thải chất thải nguy hại với cơ quan môi trường (nếu phát sinh) không?,,NGHIÊM TRỌNG — Bắt buộc với cơ sở phát sinh CTNH; thiếu = vi phạm,Luật BVMT 2020; Nghị định 08/2022
,"🚛 Xử lý &
Tuân thủ
Nhà thầu",DN có dùng đơn vị thu gom/xử lý có giấy phép cho mọi loại rác không phải rác sinh hoạt không?,,NGHIÊM TRỌNG — Xử lý không phép là bất hợp pháp; chủ DN chịu trách nhiệm pháp lý,Nghị định 08/2022/NĐ-CP
,,DN có giữ bản sao giấy phép hành nghề còn hiệu lực của nhà thầu không?,,CAO — Không thể chứng minh tuân thủ khi thanh tra nếu thiếu,Yêu cầu hồ sơ pháp lý
,,Nhà thầu có cung cấp chứng từ/biên bản (manifest) cho rác nguy hại không?,,NGHIÊM TRỌNG — Bắt buộc theo luật với rác nguy hại; thiếu = phạt nặng,Thông tư 02/2022/TT-BTNMT
,,DN có hợp đồng dịch vụ bằng văn bản với nhà thầu xử lý rác không?,,CAO — Không hợp đồng = không có cơ sở khi nhà thầu làm sai và DN bị liên đới,Bảo vệ hợp đồng
,,DN đã xác minh nhà thầu thực sự xử lý đúng quy định (không đổ trộm) chưa?,,CAO — DN từng bị phạt khi nhà thầu của họ đổ trộm rác,Trách nhiệm môi trường
,,DN có lưu giữ biên lai/hồ sơ thu gom ít nhất 3 năm không?,,CAO — Bắt buộc cho thanh tra; không có hồ sơ = không chứng minh được tuân thủ,Yêu cầu lưu trữ hồ sơ
,,DN có theo dõi khối lượng rác giao cho nhà thầu mỗi kỳ không?,,TRUNG BÌNH — Không theo dõi = không kiểm soát chi phí và bất thường,Quản lý vận hành
,"☣️ Rác thải
Nguy hại
& Hóa chất","DN có nhận diện đầy đủ các loại chất thải nguy hại phát sinh (dầu, dung môi, pin, giẻ, bùn) không?",,NGHIÊM TRỌNG — Không nhận diện = xử lý sai; rủi ro pháp lý và môi trường,Luật BVMT 2020
,,"Chất thải nguy hại có được lưu trong khu riêng, có mái che, thông gió, dán nhãn không?",,"NGHIÊM TRỌNG — Rủi ro cháy nổ, phản ứng hóa học, vi phạm quy định",Quy định lưu trữ CTNH
,,DN có dán nhãn cảnh báo & mã chất thải nguy hại đúng quy định không?,,CAO — Nhãn sai/thiếu cản trở xử lý an toàn và là điểm vi phạm khi thanh tra,Thông tư 02/2022
,,Hóa chất sản xuất có Phiếu an toàn hóa chất (SDS) và được lưu trữ đúng cách không?,,CAO — Thiếu SDS gây rủi ro an toàn lao động và tuân thủ,An toàn hóa chất
,,Công nhân tiếp xúc chất thải nguy hại có được đào tạo & trang bị bảo hộ không?,,CAO — Rủi ro sức khỏe nghề nghiệp; trách nhiệm pháp lý,ATVSLĐ
,,DN có kế hoạch ứng phó sự cố tràn đổ hóa chất/dầu không?,,TRUNG BÌNH — Sự cố tràn đổ không kiểm soát gây ô nhiễm và xử phạt,Ứng phó sự cố
,,DN có lập báo cáo quản lý chất thải nguy hại định kỳ theo quy định không?,,CAO — Bắt buộc với chủ nguồn thải; thiếu báo cáo = vi phạm hành chính,Nghị định 08/2022
,"🏭 Lưu trữ Rác
& Kiểm soát
Ô nhiễm","Khu lưu rác có sạch, có mái che, tách biệt khỏi khu sản xuất/kho nguyên liệu không?",,NGHIÊM TRỌNG — Rủi ro nhiễm chéo; than phiền; vi phạm vệ sinh,Vệ sinh cơ sở
,,"Thùng/container chứa rác có còn tốt (không rò rỉ, có nắp) không?",,"TRUNG BÌNH — Thùng rò rỉ: nước rỉ rác, côn trùng, mùi",Tiêu chuẩn vệ sinh
,,DN có hệ thống xử lý nước thải sản xuất đạt quy chuẩn trước khi xả không?,,"NGHIÊM TRỌNG — Xả thải vượt quy chuẩn bị phạt nặng, có thể đình chỉ",QCVN về nước thải; Luật BVMT 2020
,,DN có biện pháp kiểm soát bụi & khí thải tại nguồn không?,,CAO — Bụi/khí thải vượt ngưỡng gây than phiền và vi phạm,QCVN về khí thải/bụi
,,DN có kiểm soát tiếng ồn trong giới hạn quy định không?,,TRUNG BÌNH — Tiếng ồn vượt ngưỡng gây than phiền dân cư & vi phạm,QCVN về tiếng ồn
,,"DN có quan trắc môi trường định kỳ (nước thải, khí thải) theo quy định không?",,CAO — Bắt buộc với nhiều cơ sở sản xuất; thiếu = vi phạm,Nghị định 08/2022
,,Khu lưu rác có được kiểm tra & vệ sinh ít nhất hằng tuần không?,,"TRUNG BÌNH — Khu rác bỏ bê thu hút côn trùng, gây mùi & than phiền",Tuân thủ môi trường
,"📉 Giảm thiểu,
Tái chế & EPR",DN có theo dõi khối lượng rác phát sinh để đặt mục tiêu giảm thiểu không?,,CAO — Không đo được thì không giảm được; chi phí rác duy trì cao,Hiệu quả vận hành
,,DN đã xác định 3 nguồn phát sinh rác/phế liệu lớn nhất và có biện pháp giảm chưa?,,CAO — Phế liệu = tổn thất nguyên vật liệu trực tiếp lên giá thành,Giảm chi phí
,,DN có chương trình tái sử dụng/tái chế phế liệu nội bộ hoặc bán cho đơn vị tái chế không?,,TRUNG BÌNH — Bỏ lỡ nguồn thu và lợi thế kinh tế tuần hoàn,Đề án kinh tế tuần hoàn
,,DN có giảm bao bì hoặc chuyển sang vật liệu tái chế được trong 12 tháng qua không?,,TRUNG BÌNH — Kỳ vọng khách mua & quy định đang tăng,Kinh tế tuần hoàn
,,"Nếu là nhà SX/nhập khẩu bao bì có doanh thu trên ngưỡng (≈30 tỷ VNĐ), DN có nắm nghĩa vụ EPR (tái chế bắt buộc) không?",,CAO — Không thực hiện EPR có thể bị phạt 50 triệu–1 tỷ VNĐ,"Luật BVMT 2020 (Điều 54,55); NĐ 08/2022; NĐ 05/2025"
,,DN có đặt mục tiêu giảm rác/tăng tỷ lệ tái chế cho năm tới không?,,TRUNG BÌNH — Không mục tiêu = không cải thiện hệ thống,Cải tiến liên tục
,"👷 Hành vi
Nhân viên
& Đào tạo",Toàn bộ công nhân có được đào tạo xử lý rác khi nhập môn không?,,CAO — Công nhân mới là nguồn vi phạm phổ biến nhất,Thực hành đào tạo
,,Quản lý rác có nằm trong kỳ vọng công việc/giao ban đội nhóm không?,,TRUNG BÌNH — Không nhắc lại = tuân thủ trôi dần,Hệ thống quản lý
