,,,,
,ĐÁNH GIÁ NHÀ THẦU XỬ LÝ RÁC,,,
,,,,
,Chấm điểm nhà thầu hiện tại theo 7 tiêu chí (0–5). Kết quả tự động đề xuất: Giữ lại / Có điều kiện / Thay thế.,,,
,,,,
,Tên nhà thầu đang đánh giá:,,,
,,,,
,TIÊU CHÍ,TRỌNG SỐ (%),ĐIỂM (0–5),ĐIỂM CÓ TRỌNG SỐ
,"Giấy phép hành nghề xử lý rác hợp lệ, còn hiệu lực",25,,0.0
,Cung cấp chứng từ/biên bản (manifest) cho rác nguy hại,20,,0.0
,Hợp đồng dịch vụ bằng văn bản rõ ràng,15,,0.0
,Bằng chứng xử lý đúng quy định (không đổ trộm),15,,0.0
,Lưu trữ & cung cấp hồ sơ thu gom ≥ 3 năm,10,,0.0
,Năng lực xử lý đúng các loại rác doanh nghiệp phát sinh,10,,0.0
,Giá cả minh bạch & độ tin cậy dịch vụ,5,,0.0
,TỔNG ĐIỂM CÓ TRỌNG SỐ (trên 100),100,,0.0
,,,,
,ĐỀ XUẤT:,🔴 THAY THẾ — Tìm nhà thầu thay thế (xem checklist dưới),,
,,,,
,CHECKLIST CHỌN NHÀ THẦU THAY THẾ (nếu cần),,,
,☐,Yêu cầu bản sao giấy phép hành nghề & kiểm tra hiệu lực trên cổng thông tin,,
,☐,Xác nhận họ cấp chứng từ/manifest cho rác nguy hại,,
,☐,Tham quan/xác minh nơi xử lý cuối cùng (tránh đổ trộm),,
,☐,So sánh giá & điều khoản hợp đồng của ít nhất 2 nhà thầu,,
,☐,Kiểm tra năng lực xử lý đúng các loại rác đặc thù của bạn,,
,☐,Yêu cầu tham chiếu từ khách hàng hiện tại của nhà thầu,,
