,,
,ESG QUICK SCAN — NGÀNH DỊCH VỤ F&B,
,,
,Nhà hàng · Quán cà phê · Mô hình ăn uống (foodservice)  |  Module A,
,,
,Dear Our Community  ·  v1.0  ·  2026,
,,
,CÔNG CỤ NÀY LÀM GÌ,
,"Công cụ Quét nhanh (Quick Scan) này giúp doanh nghiệp dịch vụ F&B (nhà hàng, quán cà phê, mô hình ăn uống) nhận diện mức độ sẵn sàng ESG trên ba khía cạnh Môi trường, Xã hội và Quản trị.",
,Mất khoảng 20–30 phút để hoàn thành. Không cần chuyên môn ESG — trả lời dựa trên hoạt động hiện tại của bạn.,
,"Kết quả làm nổi bật điểm mạnh, khoảng trống và 3 lĩnh vực ưu tiên cần tập trung trong 3–6 tháng tới.",
,,
,CÁCH SỬ DỤNG CÔNG CỤ,
,Bước 1,Điền thông tin doanh nghiệp tại trang '🏢 Hồ sơ DN'.
,Bước 2,"Thực hiện lần lượt từng trụ cột: 🌿 Môi trường, 👥 Xã hội, 🏛 Quản trị."
,Bước 3,"Chấm điểm mỗi câu hỏi bằng danh sách thả xuống: 0 = Chưa có, 1 = Một phần, 2 = Đã có đầy đủ."
,Bước 4,Xem trang '📊 Bảng kết quả' — các lĩnh vực ưu tiên được xác định tự động.
,Bước 5,Hoàn thành Kế hoạch hành động 3–6 tháng cùng đội ngũ của bạn.
,,
,HƯỚNG DẪN CHẤM ĐIỂM,
,0 — Chưa có,Doanh nghiệp chưa thực hiện việc này.
,1 — Một phần,Đã bắt đầu nhưng chưa đồng bộ hoặc chưa đầy đủ.
,2 — Đầy đủ,Được áp dụng nhất quán và có lưu hồ sơ.
