,,,,,,,
,BẢN ĐỒ RÁC THẢI — NGÀNH DỊCH VỤ F&B,,,,,,
,,,,,,,
,Liệt kê MỌI dòng rác thải doanh nghiệp phát sinh. Ước tính khối lượng và chi phí — đa số doanh nghiệp lần đầu nhìn thấy tổng chi phí thật của rác thải.,,,,,,
,,,,,,,
,LOẠI RÁC THẢI,PHÂN NHÓM,"KL ƯỚC TÍNH
(kg/tháng)",PHƯƠNG THỨC XỬ LÝ HIỆN TẠI,ĐƠN VỊ THU GOM,TUÂN THỦ?,"CHI PHÍ ƯỚC TÍNH
(VNĐ/tháng)"
,Rác thực phẩm — sơ chế,Hữu cơ,,,,,
,Rác thực phẩm — hư hỏng/quá hạn,Hữu cơ,,,,,
,Rác thực phẩm — khách bỏ thừa,Hữu cơ,,,,,
,Dầu ăn thải (used cooking oil),Nguy hại,,,,,
,Mỡ thải / bẫy mỡ (FOG),Nguy hại,,,,,
,Bao bì giấy / bìa carton,Tái chế,,,,,
,Chai/lon/thủy tinh,Tái chế,,,,,
,Vỏ hộp / lon kim loại,Tái chế,,,,,
,"Nhựa dùng một lần (ly, ống hút, hộp)",Thường,,,,,
,Bao bì nhựa thực phẩm,Thường,,,,,
,Hóa chất tẩy rửa thải,Nguy hại,,,,,
,Pin / bóng đèn thải,Nguy hại,,,,,
,Thiết bị bếp/điện tử thải (WEEE),Nguy hại,,,,,
,Đồ thủy tinh/sứ vỡ,Thường,,,,,
,Khăn giấy / rác khu vực khách,Thường,,,,,
,Rác thải sinh hoạt chung,Thường,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,TỔNG CHI PHÍ RÁC THẢI / THÁNG (VNĐ),,,,,,0
,TỔNG CHI PHÍ RÁC THẢI / NĂM (VNĐ),,,,,,0
