,,,,,
,👥 SOCIAL — Service & F&B SMEs,,,,
,,,,,
,Score each question: 0 = Not in place  |  1 = Partially in place  |  2 = Fully in place,,,,
,,,,,
,TOPIC AREA,QUESTION / PRACTICE,"SCORE
(0–2)",BUSINESS RISK IF NOT DONE,NOTES / EVIDENCE
,"🛒 Responsible Sourcing
& Quality Control
(PRIORITY)",Do you have a list of approved/preferred suppliers with basic evaluation criteria?,,Inconsistent ingredient/product quality; food safety incidents; supply disruptions,
,,"Do you check supplier hygiene, freshness, and quality standards before accepting deliveries?",,"Customer illness, complaints, or food safety violation; potential business closure",
,,Do you have a minimum contract or written agreement with your key suppliers?,,No legal protection if supplier fails; no recourse for quality failures,
,,Do you evaluate suppliers periodically (e.g. annually) based on quality and reliability?,,Locked into underperforming suppliers; no systematic improvement of supply chain,
,"⚙️ Productive Management
(PRIORITY)","Are key operational processes (e.g. food prep, check-in, room cleaning) documented in any form — even simple written guides?",,Inconsistent service quality; high retraining cost; errors when staff change,
,,Do staff have clear role descriptions and know who is responsible for what?,,"Confusion, duplication, and gaps in service delivery; poor accountability",
,,"Do you have a way to identify when errors, delays, or rework are happening frequently?",,Preventable costs build up silently; staff frustration and turnover risk,
,,Do managers conduct regular team check-ins or briefings (daily/weekly)?,,Low team awareness; issues surface late; service inconsistency across shifts,
,"👔 Labor Practices
& Compliance
(PRIORITY)",Do all staff have written employment contracts that comply with Vietnamese labour law?,,Labour dispute risk; fines from labour authority inspections; reputational exposure,
,,"Are working hours, overtime, and leave entitlements tracked and documented?",,Disputes over pay and leave; legal penalties; staff grievances and turnover,
,,"Do you have a basic health & safety protocol covering kitchen hazards, slip risks, or fire safety?",,Workplace accidents; liability; potential injury to staff and customers,
,,Is there a clear and accessible process for staff to raise concerns or complaints internally?,,Unresolved grievances escalate; external complaints; media/social media exposure,
,,Do you conduct at least a basic induction/onboarding for new staff on safety and conduct?,,New staff unaware of risks; early-stage accidents or misconduct more likely,
,"🤝 Diversity
& Inclusion",Do hiring decisions focus on skill and fit rather than personal characteristics unrelated to the role?,,Legal discrimination risk; limited talent pool; reputational damage,
,,"Do all staff — regardless of age, gender, or background — have equal access to training and advancement?",,High turnover among underrepresented groups; missed talent development,
,,,,,
,TOTAL SCORE  (👥 Social),,0,Max possible: 30,
