,,,,,
,👥 SOCIAL — Supply Chain SMEs,,,,
,,,,,
,Score: 0 = Not in place  |  1 = Partially  |  2 = Fully in place,,,,
,,,,,
,TOPIC AREA,QUESTION / PRACTICE,"SCORE
(0–2)",BUSINESS RISK IF NOT DONE,NOTES / EVIDENCE
,"🛒 Responsible Sourcing
& Quality Control
(PRIORITY)",Do you maintain an approved supplier list with minimum qualification criteria?,,"Poor-quality inputs lead to production failures, customer rejections, and recalls",
,,Do you inspect incoming materials or products for quality before accepting delivery?,,Defective inputs enter production undetected; returns and rework costs increase,
,,Do you have written contracts with your key suppliers covering quality expectations and penalties?,,No legal recourse when suppliers fail; no accountability for quality shortfalls,
,,Do you evaluate supplier performance at least annually?,,Underperforming suppliers retained by default; no systematic supply chain improvement,
,,"Do you consider any basic ESG requirements when selecting suppliers (e.g. legal registration, basic labour compliance)?",,Exposure to reputational risk if supplier practices are exposed; future buyer audit risks,
,"⚙️ Productive Management
(PRIORITY)",Are key production or warehouse processes documented in standard operating procedures (SOPs)?,,Quality inconsistency; rework costs; high retraining cost when staff leave,
,,Do workers have clearly defined roles and responsibilities for each process step?,,Errors and gaps in accountability; confusion leads to product defects and accidents,
,,"Do supervisors track productivity metrics (e.g. output per shift, defect rate, downtime) regularly?",,Productivity loss goes unnoticed; inability to identify bottlenecks or inefficiencies,
,,Is there a systematic process for identifying and addressing operational bottlenecks?,,Recurring problems persist indefinitely; staff frustration; output unreliable,
,"👔 Labor Practices
& Compliance
(PRIORITY)",Do all workers have written employment contracts compliant with Vietnamese labour law?,,Labour inspection fines; disputes over pay/termination; reputational damage,
,,"Are working hours, overtime, and rest days tracked and within legal limits?",,Overtime pay disputes; risk of labour violation findings during audits,
,,Do you have and enforce workplace health & safety procedures relevant to your operations?,,Workplace accidents; worker compensation liability; shutdown risk after incident,
,,Is there a formal process for workers to raise concerns or grievances without fear of retaliation?,,Unexpressed grievances escalate; sudden collective action or external complaints,
,,Do you conduct safety inductions for all new workers before they start work?,,New workers are highest-risk group for accidents; liability without documented induction,
,,"Are social insurance (BHXH), health insurance (BHYT), and unemployment insurance contributions up to date for all workers?",,Legal penalties; worker grievances; discovery during labour inspections,
,"🤝 Diversity
& Inclusion",Are hiring and promotion decisions based on skill and merit rather than personal characteristics?,,Legal discrimination risk; limited talent access; reputational damage if exposed,
,,Do female workers and migrant workers have equal access to training and advancement?,,Higher turnover among these groups; legal non-compliance risk; community relations,
,,,,,
,TOTAL SCORE  (👥 Social),,0,Max possible: 34,
