,,,,,
,🏛 GOVERNANCE — Service & F&B SMEs,,,,
,,,,,
,Score each question: 0 = Not in place  |  1 = Partially in place  |  2 = Fully in place,,,,
,,,,,
,TOPIC AREA,QUESTION / PRACTICE,"SCORE
(0–2)",BUSINESS RISK IF NOT DONE,NOTES / EVIDENCE
,"🔐 Data Compliance
(PRIORITY)","Do you collect customer data (names, contacts, payment info)? If yes, is it stored securely?",,Data breach risk; violation of Vietnam's data protection regulations; loss of customer trust,
,,Do you have a basic privacy policy communicated to customers?,,Legal non-compliance; regulatory fines; brand damage if breached,
,,Is access to sensitive business or customer data limited to relevant staff only?,,Internal data misuse; difficulty tracing breaches; customer data exposed,
,"⚖️ Legal Risk Management
& Compliance
(PRIORITY)","Is your business licensed and up to date with all required operating permits (food safety, fire, business registration)?",,Risk of sudden shutdown; fines; loss of ability to operate,
,,"Do you have someone responsible for tracking when licences, certifications, or inspections are due?",,Lapses in compliance discovered only during inspections; reactive not proactive,
,,Do you conduct a basic internal check on compliance at least annually?,,Compliance gaps accumulate unnoticed; penalties escalate when discovered,
,"📣 Customer & Stakeholder
Engagement",Do you have a standard way to collect and respond to customer feedback or complaints?,,Complaints go unresolved; negative reviews compound; customer churn,
,,Do you communicate any ESG or quality improvements to customers (even informally)?,,Missed opportunity to build brand trust and loyalty,
,"🚫 Anti-Corruption
& Ethics",Do staff understand what constitutes a conflict of interest or inappropriate gift/payment?,,Procurement fraud; inflated costs; legal exposure for the business owner,
,,Do you have basic conduct expectations communicated in writing to staff?,,Misconduct goes unchecked; HR incidents hard to resolve without written standards,
,,,,,
,TOTAL SCORE  (🏛 Governance),,0,Max possible: 20,
