,,,,,,,
,THEO DÕI RÁC THẢI THỰC PHẨM (FOOD WASTE),,,,,,
,,,,,,,
,Theo dõi food waste theo nguồn mỗi tuần. Nhập giá vốn thực phẩm bình quân (VNĐ/kg) để thấy SỐ TIỀN thật bị lãng phí.,,,,,,
,,,,,,,
,Giá vốn thực phẩm bình quân (VNĐ/kg):,,,,,,"35,000"
,,,,,,,
,NGUỒN / LOẠI,"Tuần 1
(kg)","Tuần 2
(kg)","Tuần 3
(kg)","Tuần 4
(kg)","TỔNG
(kg/tháng)","CHI PHÍ
(VNĐ/tháng)"
,"Sơ chế thừa (gọt, cắt, tỉa)",,,,,0,0
,Hư hỏng / quá hạn trong kho,,,,,0,0
,Khách bỏ thừa (plate waste),,,,,0,0
,Nấu lỗi / cháy / sai món,,,,,0,0
,Trưng bày không bán được,,,,,0,0
,Trả món / hủy đơn,,,,,0,0
,Hết hạn khuyến mãi không kịp dùng,,,,,0,0
,Khác,,,,,0,0
,TỔNG CỘNG,,,,,0,0
,ƯỚC TÍNH CHI PHÍ MẤT MÁT / NĂM (VNĐ),,,,,,0
,,,,,,,
,Một nhà hàng lãng phí 50kg/tuần × 35.000đ ≈ 91 triệu VNĐ/năm — chỉ riêng food waste. Đây là khoản chi phí bạn kiểm soát được ngay mà không cần tăng doanh thu.,,,,,,
