,,,,,,
,KẾ HOẠCH HÀNH ĐỘNG 90 NGÀY,,,,,
,,,,,,
,9 hành động khởi đầu đã gợi ý sẵn (có thể chỉnh sửa). Chuyên gia VIoT rà soát cùng bạn theo mốc 30/60/90 ngày.,,,,,
,,,,,,
,MỨC ƯU TIÊN,LĨNH VỰC,HÀNH ĐỘNG CỤ THỂ,NGƯỜI PHỤ TRÁCH,THỜI HẠN,TIÊU CHÍ HOÀN THÀNH / TRẠNG THÁI
,Quan trọng,Tuân thủ,"Xác định DN có thuộc cơ sở trọng điểm (≥1.000 TOE/năm) không; nếu có, lập kế hoạch kiểm toán & báo cáo năng lượng.",,Ngày 30,Biết rõ trạng thái & nghĩa vụ tuân thủ
,Quan trọng,Khí nén,Kiểm tra & sửa rò rỉ khí nén; giảm áp suất xuống mức tối thiểu cần thiết.,,Ngày 45,Giảm rò rỉ; áp suất đặt tối ưu
,Quan trọng,Giám sát,Lắp đồng hồ phụ/giám sát cho 3 khu vực/máy tốn điện nhất.,,Ngày 60,Có dữ liệu tiêu thụ cho top 3 tải
,Cần làm,Biến tần,Lắp VSD cho bơm/quạt/động cơ tải biến đổi chính.,,Ngày 90,VSD vận hành cho ít nhất 1 hệ tải lớn
,Cần làm,Phụ tải,Dịch tải lớn khỏi giờ cao điểm; bù cosφ nếu đang bị phụ phí.,,Ngày 60,Giảm tiền điện giờ cao điểm/phụ phí cosφ
,Cần làm,ĐMT,Đánh giá tiềm năng điện mặt trời mái nhà & phương án tài chính.,,Ngày 60,Có báo cáo tiềm năng ĐMT & hoàn vốn
,Làm ngay,Bản đồ NL,Hoàn thành Bản đồ Năng lượng & phân bổ chi phí theo hệ thống.,,Ngày 7,Biết điểm nóng tốn điện nhất
,Làm ngay,Chiếu sáng,Thay đèn LED + cảm biến ở các khu vực chính.,,Ngày 30,Đã thay LED khu vực tiêu thụ lớn
,Làm ngay,Tắt máy,Ban hành quy trình tắt máy/không tải & phân công người phụ trách.,,Ngày 14,Quy trình áp dụng; có người phụ trách
,,,,,,
,MỐC RÀ SOÁT CÙNG CHUYÊN GIA,,,,,
,MỐC,TRỌNG TÂM,NGÀY HỌP,GHI CHÚ CỦA CHUYÊN GIA,,
,30 ngày,"Nền tảng: giám sát/đo lường, sửa rò rỉ, tắt thiết bị, LED",,,,
,60 ngày,"Hệ thống: lắp đồng hồ phụ, biến tần, tối ưu điều hòa/làm lạnh",,,,
,90 ngày,"Đầu tư: điện mặt trời, BESS, lộ trình & mục tiêu tiết kiệm",,,,
