,ĐÁNH GIÁ TUÂN THỦ BẢO VỆ DỮ LIỆU — 40 câu hỏi · 6 nhóm

,Chấm điểm trung thực: Đầy đủ = Đã làm đầy đủ; Một phần = Làm một phần; Chưa làm = Chưa làm; N/A = Không áp dụng. Đối chiếu với PDPL 2025 & Nghị định 356/2025. Phần đào tạo chuyên sâu cùng chuyên gia Data Protectify.

,NHÓM,CÂU HỎI / THỰC HÀNH,ĐIỂM (Đầy đủ/Một phần/Chưa làm/N/A),RỦI RO NẾU CHƯA LÀM,THAM CHIẾU PHÁP LÝ / GHI CHÚ
,Thu thập & Đồng ý,"DN có xác định rõ những loại DLCN nào đang thu thập (khách hàng, đặt bàn, loyalty, thanh toán, nhân viên) không?",,CAO — Không biết mình giữ dữ liệu gì = không thể bảo vệ,Luật BVDLCN 2025 (minh bạch)
,,DN chỉ thu thập dữ liệu thực sự cần thiết (tối thiểu hóa) không?,,CAO — Thu thập thừa làm tăng rủi ro & trách nhiệm,PDPL (tối thiểu hóa dữ liệu)
,,"DN có lấy đồng ý rõ ràng khi thu thập dữ liệu khách (đăng ký loyalty, wifi, marketing) không?",,NGHIÊM TRỌNG — Xử lý không có cơ sở pháp lý là vi phạm,PDPL (đồng ý)
,,"Khi gửi marketing (SMS/email/Zalo), DN có sự đồng ý của khách & cơ chế hủy nhận không?",,NGHIÊM TRỌNG — Gửi marketing không đồng ý vi phạm PDPL & quy định chống tin nhắn rác,PDPL; Nghị định 91/2020 (chống spam)
,,"DN có thông báo mục đích xử lý tại thời điểm thu thập (form loyalty, đặt bàn) không?",,CAO — Thu thập ngầm vi phạm nguyên tắc minh bạch,PDPL (minh bạch)
,,"DN có cơ chế để khách rút lại đồng ý (hủy loyalty, ngừng nhận marketing) không?",,CAO — Không cho rút đồng ý là vi phạm quyền chủ thể,PDPL (quyền chủ thể)
,,"Nếu thu thập dữ liệu liên quan trẻ em (combo gia đình, sự kiện), DN có biện pháp bảo vệ tăng cường không?",,CAO — Nhóm đặc biệt được bảo vệ tăng cường,PDPL (nhóm đặc biệt)
,Cơ sở pháp lý & Minh bạch,DN có chính sách quyền riêng tư dễ tiếp cận (tại quầy / website / app) không?,,CAO — Thiếu chính sách = thiếu minh bạch & cơ sở tuân thủ,PDPL (minh bạch)
,,"Mỗi hoạt động xử lý (loyalty, đặt bàn, camera, marketing) có cơ sở pháp lý rõ ràng không?",,NGHIÊM TRỌNG — Xử lý không có cơ sở pháp lý là vi phạm,PDPL (cơ sở xử lý)
,,DN có nêu rõ thời gian lưu dữ liệu khách cho từng mục đích không?,,TRUNG BÌNH — Lưu vô thời hạn vi phạm nguyên tắc giới hạn lưu trữ,PDPL (giới hạn lưu trữ)
,,DN chỉ dùng dữ liệu khách đúng mục đích đã thông báo không?,,CAO — Dùng sai mục đích là vi phạm,PDPL (giới hạn mục đích)
,,DN có rà soát & cập nhật chính sách quyền riêng tư định kỳ không?,,TRUNG BÌNH — Chính sách lỗi thời không phản ánh thực tế xử lý,Cải tiến liên tục
,,DN có giữ dữ liệu khách chính xác & cho phép cập nhật không?,,TRUNG BÌNH — Dữ liệu sai gây quyết định sai & khiếu nại,PDPL (chính xác)
,,DN KHÔNG mua/bán/trao đổi danh sách khách hàng chứ?,,NGHIÊM TRỌNG — Mua/bán DLCN bị cấm; phạt tới 10× doanh thu vi phạm hoặc 3 tỷ VNĐ,PDPL (cấm mua bán dữ liệu)
