,,,,,,
,WASTE CONTRACTOR EVALUATION — Know Who Is Disposing of Your Waste,,,,,
,,,,,,
,Your business is legally responsible for your waste until it reaches a licensed facility. Use this scorecard to evaluate your current contractor and decide if you need to make changes.,,,,,
,,,,,,
,CONTRACTOR INFORMATION,,,,,
,Contractor Name,,,,,
,Licence Number,Verify at your local DONRE office or online portal,,,,
,Licence Expiry Date,,,,,
,Waste Types They Are Licensed to Handle,,,,,
,Date of This Evaluation,,,,,
,Evaluated By,,,,,
,,,,,,
,EVALUATION CRITERIA — Score 1 to 5 for each criterion,,,,,
,CRITERION,"SCORE
(1–5)","WEIGHT
(%)","WEIGHTED
SCORE",EVIDENCE / HOW TO VERIFY,RESULT
,"Licence & Legal Compliance
Holds current, valid waste collection licence issued by DONRE. Licence covers the waste types you generate.",,25%,0.00,Request licence certificate. Verify number at DONRE website or office.,
,"Disposal Documentation
Provides waste transfer notes, disposal manifests, or receipts for every collection.",,20%,0.00,Ask for sample documentation from last 3 collections.,
,"Hazardous Waste Handling
Certified to handle hazardous waste (if applicable). Provides hazardous waste manifests.",,15%,0.00,Request specific hazardous waste licence if you produce hazardous waste.,
,"Actual Disposal Practice
You have verified (or have reasonable confidence) that waste is taken to a licensed facility — not illegally dumped.",,15%,0.00,Request facility address and check it is registered. Ask to visit if possible.,
,"Reliability & Service Quality
Collections happen on agreed schedule. Responsive to issues. Clear contact person.",,10%,0.00,Review your own experience over past 6 months.,
,"Separation Integrity
Contractor actually keeps separated waste streams separate — does not mix them in the vehicle.",,10%,0.00,Observe a collection or ask staff who are present at collections.,
,"Pricing Transparency
Pricing is clear, documented, and reflects actual volumes. No unexplained charges.",,5%,0.00,Review last 6 months of invoices against agreed rates.,
,TOTAL WEIGHTED SCORE (out of 5),,,0.00,❌ Replace — seek alternative licensed contractor,
,,,,,,
,IF CONTRACTOR SCORES < 2.5 — ALTERNATIVE CONTRACTOR CHECKLIST,,,,,
,Use this checklist when evaluating alternative contractors. Do NOT sign any contract before verifying all CRITICAL items.,,,,,
,PRIORITY,CHECK ITEM,,,NOTES,
,CRITICAL,Holds current DONRE waste collection licence covering your waste types,,,,
,CRITICAL,Provides waste transfer notes or manifests for every collection,,,,
,CRITICAL,Can provide the address of the licensed disposal facility they use,,,,
,IMPORTANT,Has a minimum 2 years operating history — ask for references,,,,
,IMPORTANT,Willing to sign a written service agreement with disposal documentation obligations,,,,
,STANDARD,Collection frequency matches your operational needs,,,,
,STANDARD,Pricing is documented and includes all fees (no hidden charges),,,,
,STANDARD,Has a dedicated contact person for service issues,,,,
