,BẢN ĐỒ DỮ LIỆU CÁ NHÂN — NGÀNH DỊCH VỤ F&B

,Ghi lại MỌI loại dữ liệu cá nhân doanh nghiệp đang thu thập. Đây là nền tảng của mọi nghĩa vụ tuân thủ — không biết mình giữ dữ liệu gì thì không thể bảo vệ.

,LOẠI DỮ LIỆU CÁ NHÂN,Nguồn thu thập,Mục đích xử lý,Cơ sở pháp lý,Nhạy cảm?,Nơi lưu trữ,Ai có quyền truy cập,Thời gian lưu,Chia sẻ / Bên thứ ba,Chuyển ra nước ngoài?
,"Thông tin khách hàng (tên, SĐT, email)",,,,,,,,,
,Dữ liệu chương trình khách hàng thân thiết (loyalty),,,,,,,,,
,Dữ liệu đặt bàn / đặt món,,,,,,,,,
,"Dữ liệu thanh toán (thẻ, ví điện tử)",,,,Có,,,,,
,Hình ảnh camera giám sát (CCTV),,,,Có,,,,,
,Dữ liệu wifi khách,,,,,,,,,
,Dữ liệu marketing (SMS / email / Zalo),,,,,,,,,
,Dữ liệu qua app giao hàng (GrabFood/ShopeeFood/Be),,,,,,,,,
,Đánh giá / phản hồi khách hàng,,,,,,,,,
,Hồ sơ nhân viên (HR),,,,,,,,,

,"Lưu ý: dữ liệu sinh trắc học, sức khỏe, hình ảnh, thông tin tài khoản, hành vi/định vị… là DỮ LIỆU NHẠY CẢM — yêu cầu đồng ý riêng & bảo vệ tăng cường (PDPL)."
