,,,,,
,ESG QUICK SCAN — BẢNG KẾT QUẢ,,,,
,,,,,
,Ngành Sản xuất  |  Dear Our Community  |  Module A,,,,
,,,,,
,TỔNG HỢP ĐIỂM THEO TRỤ CỘT,,,,
,TRỤ CỘT,ĐIỂM CỦA BẠN,TỐI ĐA,% ĐIỂM,MỨC ĐỘ TRƯỞNG THÀNH
,🌿 Môi trường,0,28,0%,🔴 Giai đoạn đầu
,👥 Xã hội,0,34,0%,🔴 Giai đoạn đầu
,🏛 Quản trị,0,22,0%,🔴 Giai đoạn đầu
,TỔNG ĐIỂM,0,84,0%,🔴 Giai đoạn đầu — Tập trung lĩnh vực ưu tiên
,,,,,
,LĨNH VỰC ƯU TIÊN (3–6 THÁNG TỚI),,,,
,Rác thải sản xuất & Xử lý,Môi trường,Giảm chi phí xử lý và tránh bị phạt từ cơ quan môi trường,,
,Tiêu thụ & Hiệu quả năng lượng,Môi trường,Cắt giảm hóa đơn năng lượng — thường 10–30% chi phí sản xuất,,
,Mua hàng có trách nhiệm & Kiểm soát chất lượng,Xã hội,Ngăn đầu vào lỗi; tránh rủi ro NCC thất bại và thu hồi sản phẩm,,
,Quản lý sản xuất hiệu quả,Xã hội,Giảm làm lại & thời gian dừng máy; chuẩn hóa quy trình toàn nhà máy,,
,Thực hành lao động & Tuân thủ,Xã hội,Tránh bị phạt thanh tra lao động & tranh chấp; ổn định lực lượng lao động,,
,Tuân thủ về dữ liệu,Quản trị,Bảo vệ dữ liệu DN & nhân viên; tuân thủ Nghị định 13/2023,,
,Quản lý rủi ro pháp lý,Quản trị,Đảm bảo mọi giấy phép luôn còn hiệu lực và được theo dõi,,
,,,,,
,,,,,
,KẾ HOẠCH HÀNH ĐỘNG 3–6 THÁNG (Hoàn thành cùng đội ngũ),,,,
,LĨNH VỰC ƯU TIÊN,HÀNH ĐỘNG CỤ THỂ,NGƯỜI PHỤ TRÁCH,THỜI HẠN,TRẠNG THÁI
