,,,,,
,ESG QUICK SCAN — BẢNG KẾT QUẢ,,,,
,,,,,
,Ngành Dịch vụ F&B  |  Dear Our Community  |  Module A,,,,
,,,,,
,TỔNG HỢP ĐIỂM THEO TRỤ CỘT,,,,
,TRỤ CỘT,ĐIỂM CỦA BẠN,TỐI ĐA,% ĐIỂM,MỨC ĐỘ TRƯỞNG THÀNH
,🌿 Môi trường,0,28,0%,🔴 Giai đoạn đầu
,👥 Xã hội,0,30,0%,🔴 Giai đoạn đầu
,🏛 Quản trị,0,20,0%,🔴 Giai đoạn đầu
,TỔNG ĐIỂM,0,78,0%,🔴 Giai đoạn đầu — Tập trung lĩnh vực ưu tiên
,,,,,
,LĨNH VỰC ƯU TIÊN (3–6 THÁNG TỚI),,,,
,Phát sinh & Xử lý rác thải,Môi trường,Giảm chi phí xử lý rác & tránh bị phạt khi thanh tra,,
,Tiêu thụ & Hiệu quả năng lượng,Môi trường,Giảm hóa đơn tiện ích — thường tiết kiệm được 10–20%,,
,Mua hàng có trách nhiệm & Kiểm soát chất lượng,Xã hội,Ngăn sự cố an toàn thực phẩm & gián đoạn nguồn cung,,
,Quản lý vận hành hiệu quả,Xã hội,Giảm lỗi & làm lại; nâng cao tính nhất quán của dịch vụ,,
,Thực hành lao động & Tuân thủ,Xã hội,Tránh tranh chấp lao động & bị phạt khi thanh tra,,
,Tuân thủ về dữ liệu,Quản trị,Bảo mật dữ liệu khách hàng & tuân thủ quy định của VN,,
,Quản lý rủi ro pháp lý,Quản trị,Đảm bảo mọi giấy phép luôn còn hiệu lực & được theo dõi,,
,,,,,
,,,,,
,KẾ HOẠCH HÀNH ĐỘNG 3–6 THÁNG (Hoàn thành cùng đội ngũ),,,,
,LĨNH VỰC ƯU TIÊN,HÀNH ĐỘNG CỤ THỂ,NGƯỜI PHỤ TRÁCH,THỜI HẠN,TRẠNG THÁI
