,,,,,
,🌿 ENVIRONMENT — Supply Chain SMEs,,,,
,,,,,
,Score: 0 = Not in place  |  1 = Partially  |  2 = Fully in place,,,,
,,,,,
,TOPIC AREA,QUESTION / PRACTICE,"SCORE
(0–2)",BUSINESS RISK IF NOT DONE,NOTES / EVIDENCE
,"♻️ Waste Generation
& Handling
(PRIORITY)","Do you separate and categorise waste produced in your operations (e.g. scrap materials, packaging waste, hazardous waste)?",,Regulatory fines from environmental inspections; disposal costs uncontrolled; reputational risk,
,,Do you track the volume or weight of waste generated per month or per production run?,,Unable to identify waste reduction opportunities; hidden cost leakage,
,,Do you use a licensed waste disposal contractor for non-general waste?,,Legal liability for improper disposal; potential facility closure order,
,,Have you identified your top 3 sources of waste and taken steps to reduce them?,,Waste costs remain high indefinitely; raw material losses compound over time,
,,Do staff responsible for production or warehousing receive training on waste handling procedures?,,Inconsistent sorting leads to compliance failures and contamination of recyclable streams,
,"⚡ Energy Consumption
& Efficiency
(PRIORITY)",Do you track monthly electricity and fuel consumption across your production site(s)?,,Energy is typically 10–30% of production costs; no data = no control,
,,"Are machinery and equipment switched off when not in use, and is this enforced systematically?",,Preventable energy waste; equipment lifetime reduced; cost savings foregone,
,,"Have you conducted any energy efficiency review or upgrade in the last 3 years (e.g. LED, efficient motors)?",,Operating at higher cost than competitors who have upgraded; missed incentive windows,
,,Is there a designated person responsible for monitoring energy consumption and costs?,,No accountability; energy issues persist and escalate unseen,
,"💧 Water Use
& Management",Do you monitor water consumption and costs monthly?,,Unreported leaks; inability to detect overconsumption; unexpected cost spikes,
,,"Do production or cleaning processes include water-saving practices (e.g. closed-loop systems, reuse)?",,High water bills; compliance risk in water-scarce areas; supply chain auditors flagging overuse,
,,Are you aware of local water use regulations applicable to your industry?,,Unintentional non-compliance; penalties and licence risks,
,"🌡️ GHG & Pollution
Awareness","Do you have any awareness of emission sources in your operations (e.g. generators, refrigerants, vehicles)?",,Growing regulatory pressure; future disclosure requirements from buyers and government,
,,"Do you have basic pollution controls in place (e.g. effluent treatment, dust control, noise limits)?",,Neighbour complaints; environmental authority inspections; fines or shutdown orders,
,,,,,
,TOTAL SCORE  (🌿 Environment),,0,Max possible: 28,
