,,,,,
,ESG QUICK SCAN — RESULTS DASHBOARD,,,,
,,,,,
,Supply Chain Sector  |  Dear Our Community  |  Package E-B,,,,
,,,,,
,SCORE SUMMARY BY PILLAR,,,,
,PILLAR,YOUR SCORE,MAX POSSIBLE,% SCORE,MATURITY LEVEL
,🌿 Environment,0,28,0%,🔴 Early Stage
,👥 Social,0,34,0%,🔴 Early Stage
,🏛 Governance,0,22,0%,🔴 Early Stage
,OVERALL TOTAL,0,84,0%,🔴 Early Stage — Focus on Priority Modules
,,,,,
,YOUR PRIORITY FOCUS AREAS (Next 3–6 Months),,,,
,Waste Generation & Handling,Environment,Reduce disposal costs and prevent regulatory fines from environmental authority,,
,Energy Consumption & Efficiency,Environment,Cut energy bills — often 10–30% of production costs with room to improve,,
,Responsible Sourcing & Quality Control,Social,Prevent defective inputs; protect from supplier failure and recall risks,,
,Productive Management,Social,Reduce rework and downtime; standardise processes across the operation,,
,Labor Practices & Compliance,Social,Avoid labour inspection penalties and disputes; build workforce stability,,
,Data Compliance,Governance,Protect business and employee data; comply with Decree 13/2023,,
,Legal Risk Management,Governance,Ensure all operating licences and permits are current and tracked,,
,,,,,
,,,,,
,YOUR 3–6 MONTH ACTION PLAN (Complete with your team),,,,
,PRIORITY AREA,SPECIFIC ACTION,OWNER,TARGET DATE,STATUS
