,,,,,,
,KẾ HOẠCH HÀNH ĐỘNG 90 NGÀY,,,,,
,,,,,,
,9 hành động khởi đầu đã gợi ý sẵn (có thể chỉnh sửa). Chuyên gia VIoT rà soát cùng bạn theo mốc 30/60/90 ngày.,,,,,
,,,,,,
,MỨC ƯU TIÊN,LĨNH VỰC,HÀNH ĐỘNG CỤ THỂ,NGƯỜI PHỤ TRÁCH,THỜI HẠN,TIÊU CHÍ HOÀN THÀNH / TRẠNG THÁI
,Quan trọng,Làm lạnh,"Kiểm tra gioăng, lắp rèm PVC, xả đá kho lạnh/tủ đông; đặt nhiệt độ hợp lý.",,Ngày 30,Kho lạnh/tủ đông kín & xả đá định kỳ
,Quan trọng,Bếp,Thiết lập lịch bật-tắt thiết bị bếp theo nhu cầu (không bật sớm/để cả ngày).,,Ngày 30,Lịch bật-tắt áp dụng cho thiết bị chính
,Quan trọng,Giám sát,Lắp đồng hồ phụ cho bếp & điều hòa (2 khu tốn điện nhất).,,Ngày 60,Có dữ liệu tiêu thụ cho 2 khu lớn nhất
,Cần làm,Điều hòa,"Đặt 25–26°C, bảo trì/vệ sinh định kỳ, đóng kín khu vực có điều hòa.",,Ngày 45,Điều hòa được bảo trì & đặt nhiệt độ chuẩn
,Cần làm,Hút mùi,Lắp biến tần/cảm biến cho máy hút mùi & thông gió bếp.,,Ngày 90,Hút mùi vận hành theo nhu cầu
,Cần làm,ĐMT,Đánh giá tiềm năng điện mặt trời mái nhà & phương án tài chính.,,Ngày 60,Có báo cáo tiềm năng ĐMT & hoàn vốn
,Làm ngay,Bản đồ NL,Hoàn thành Bản đồ Năng lượng & phân bổ chi phí theo hệ thống.,,Ngày 7,Biết điểm nóng tốn điện nhất
,Làm ngay,Chiếu sáng,Thay đèn LED + cảm biến ở khu khách & khu bếp.,,Ngày 30,Đã thay LED khu vực tiêu thụ lớn
,Làm ngay,Dịch tải,Dịch làm đá/giặt sang giờ thấp điểm; phân công tắt thiết bị cuối ca.,,Ngày 14,Tải lớn dịch khỏi giờ cao điểm
,,,,,,
,MỐC RÀ SOÁT CÙNG CHUYÊN GIA,,,,,
,MỐC,TRỌNG TÂM,NGÀY HỌP,GHI CHÚ CỦA CHUYÊN GIA,,
,30 ngày,"Nền tảng: giám sát/đo lường, sửa rò rỉ, tắt thiết bị, LED",,,,
,60 ngày,"Hệ thống: lắp đồng hồ phụ, biến tần, tối ưu điều hòa/làm lạnh",,,,
,90 ngày,"Đầu tư: điện mặt trời, BESS, lộ trình & mục tiêu tiết kiệm",,,,
