,,,,,,,,
,WASTE MAPPING — Every Waste Stream Your Business Produces,,,,,,,
,,,,,,,,
,Step 1: List every type of waste your business generates. Be honest — include waste you are unsure how to handle. This map is the foundation for everything else in this toolkit.,,,,,,,
,,,,,,,,
,BUSINESS INFORMATION,,,,,,,
,Business Name,,,,,,,
,Business Type / Sector,,,,"e.g. Restaurant, Hotel, Manufacturer, Retailer",,,
,Number of Locations / Sites,,,,,,,
,Date of Mapping Exercise,,,,,,,
,Completed With,,,,Name of Eco Solutions expert,,,
,,,,,,,,
,SECTION A — WASTE STREAM INVENTORY,,,,,,,
,"For each waste type your business produces, fill in all columns. Estimate if exact figures are unknown — your expert can help refine these. Add rows for any waste types not listed.",,,,,,,
,WASTE TYPE,"DO YOU
PRODUCE
THIS?","EST. VOLUME
PER WEEK",UNIT,"CURRENT
DISPOSAL METHOD",WHO COLLECTS IT?,"IS THIS
COMPLIANT?",NOTES / CONCERNS
,— SERVICE SECTOR WASTE STREAMS —,,,,,,,
,Food waste — preparation scraps,,,kg,,,,
,Food waste — spoilage / expired stock,,,kg,,,,
,Food waste — plate / customer waste,,,kg,,,,
,Cooking oil / grease,,,litres,,,,
,Packaging — cardboard / paper,,,kg,,,,
,Packaging — plastic film / wrap,,,kg,,,,
,"Glass (bottles, broken glassware)",,,kg,,,,
,"Single-use plastics (cups, straws, cutlery)",,,kg,,,,
,General / mixed waste,,,bags,,,,
,Chemical waste (cleaning products),,,litres,,,,
,Linen / textile waste (hospitality),,,kg,,,,
,— SUPPLY CHAIN WASTE STREAMS —,,,,,,,
,Production scrap / off-cuts,,,kg,,,,
,Defective / rejected products,,,kg,,,,
,Packaging waste — outbound,,,kg,,,,
,Industrial chemicals / solvents,,,litres,,,,
,Lubricants / machine oils,,,litres,,,,
,Metal scrap,,,kg,,,,
,"Electronic waste (batteries, equipment)",,,items,,,,
,Effluent / liquid waste,,,m³,,,,
,Dust / particulate waste,,,kg,,,,
,Other (specify),,,,,,,
,Other (specify),,,,,,,
,Other (specify),,,,,,,
,,,,,,,,
,SECTION B — CURRENT WASTE COST ESTIMATE,,,,,,,
,Estimate what your business currently spends on waste disposal. Most businesses are surprised by this number.,,,,,,,
,COST ITEM,MONTHLY AMOUNT (VND),ANNUAL ESTIMATE (VND),,,NOTES,,
,Waste collection contractor fees,,0,,,,,
,Municipality waste collection fees,,0,,,,,
,Hazardous waste disposal (special handling),,0,,,,,
,"Waste bags, bins, and separation equipment",,0,,,,,
,Food waste disposal or composting fees,,0,,,,,
,Staff time spent managing waste (estimate),,0,,,,,
,Fines or penalties received in past 12 months,,0,,,,,
,ESTIMATED TOTAL MONTHLY WASTE COST,0,0,,,,,
,,,,,,,,
,💡  Key insight: Businesses that track waste costs for the first time typically discover they are spending 20–40% more than expected. This number becomes your baseline — every improvement you make reduces it.,,,,,,,
