,,,,,,,,,
,FOOD WASTE TRACKER — For F&B and Hospitality Businesses,,,,,,,,
,,,,,,,,,
,"Track food waste weekly by source. A restaurant generating 50kg of food waste per week at an average food cost of 35,000 VND/kg is discarding ~1,750,000 VND per week — 91,000,000 VND per year.",,,,,,,,
,,,,,,,,,
,SECTION A — SET YOUR ASSUMPTIONS,,,,,,,,
,Average food cost per kg (VND),,35000,← Enter your average food cost per kg. This is used to calculate waste cost throughout this tracker.,,,,,
,,,,,,,,,
,SECTION B — WEEKLY FOOD WASTE LOG (kg by source),,,,,,,,
,Weigh waste or estimate by bag size each day. Record weekly totals below by source. Aim to record at least 4 consecutive weeks before drawing conclusions.,,,,,,,,
,WASTE SOURCE,"Week 1
(kg)","Week 2
(kg)","Week 3
(kg)","Week 4
(kg)","Week 5
(kg)","Week 6
(kg)","AVERAGE
(kg/week)","WEEKLY COST
(VND est.)"
,"Preparation waste (peeling, trimming, mis-cuts)",,,,,,,,0
,Over-production (food made but not sold),,,,,,,,0
,Spoilage — poor storage / FIFO not followed,,,,,,,,0
,Spoilage — over-ordering,,,,,,,,0
,Plate waste — customers not finishing meals,,,,,,,,0
,Staff meals and errors,,,,,,,,0
,Packaging/wrapping waste (food contact only),,,,,,,,0
,Other food waste (specify),,,,,,,,0
,TOTAL FOOD WASTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
,,,,,,,,,
,SECTION C — MONTHLY COST SUMMARY & REDUCTION TRACKING,,,,,,,,
,MONTH,"Total Waste
(kg)","Est. Cost
(VND)","vs. Previous
Month","Top Source
This Month","Reduction Action
Taken",Result,,
,January,,0,—,,,,,
,February,,0,,,,,,
,March,,0,,,,,,
,April,,0,,,,,,
,May,,0,,,,,,
,June,,0,,,,,,
,July,,0,,,,,,
,August,,0,,,,,,
,September,,0,,,,,,
,October,,0,,,,,,
,November,,0,,,,,,
,December,,0,,,,,,
