,,,,,
,ĐÁNH GIÁ THỰC HÀNH QUẢN LÝ NĂNG LƯỢNG — 40 câu hỏi · 6 nhóm,,,,
,,,,,
,Chấm điểm trung thực:  Đầy đủ   Một phần   Chưa có   N/A = Không áp dụng. Phần đào tạo chuyên sâu cùng chuyên gia VIoT.,,,,
,,,,,
,NHÓM,CÂU HỎI / THỰC HÀNH,ĐIỂM (Đầy đủ/Một phần/Chưa có/N/A),RỦI RO / CƠ HỘI NẾU CHƯA LÀM,THAM CHIẾU / GHI CHÚ
,Giám sát & Đo lường Năng lượng,DN có theo dõi tiêu thụ điện hằng tháng theo từng điểm bán & so sánh giữa các tháng không?,,CAO — Không đo = không kiểm soát,Luật SDNLTK&HQ 2010 (sửa đổi 2025); ISO 50001
,,"DN có thiết bị giám sát điện năng (đồng hồ phụ/IoT) cho khu vực lớn (bếp, điều hòa) không?",,CAO — Không có đồng hồ phụ thì không biết khu nào tốn điện nhất,ISO 50001 (đo lường)
,,"DN có biết hệ thống nào chiếm tỷ trọng điện lớn nhất (điều hòa, bếp, làm lạnh) không?",,CAO — Không biết điểm nóng = đầu tư sai chỗ,Phương pháp khảo sát VEEP
,,DN có giải pháp phát hiện thất thoát/lãng phí điện không?,,TRUNG BÌNH — Thất thoát âm thầm làm tăng chi phí,Quản lý năng lượng
,,DN có theo dõi công suất đỉnh & hệ số công suất không?,,TRUNG BÌNH — cosφ thấp/vượt công suất bị phụ phí,Biểu giá EVN
,,DN có đặt mục tiêu tiết kiệm điện (%) cho năm nay không?,,TRUNG BÌNH — Không mục tiêu = không cải thiện,ISO 50001 (mục tiêu)
,,DN có đối chiếu điện tiêu thụ với sản lượng (kWh/suất ăn hoặc kWh/triệu doanh thu) không?,,"CAO — Chỉ số cường độ cho thấy hiệu quả thật, giúp so sánh giữa chi nhánh",ISO 50001 (EnPI); VEEP
,"Điều hòa, Thông gió & Làm lạnh",Nhiệt độ điều hòa khu khách có đặt hợp lý (≈25–26°C) & kiểm soát không?,,CAO — Mỗi 1°C thấp hơn ≈ +2–3% điện điều hòa,QCVN 09:2017/BXD
,,"Điều hòa & hệ làm lạnh có bảo trì/vệ sinh định kỳ (lọc, dàn) không?",,"CAO — Dàn bẩn làm giảm hiệu suất, tăng điện",Bảo trì HVAC
,,"Tủ lạnh/tủ đông/kho lạnh có gioăng kín, đóng cửa nhanh, không quá tải không?",,CAO — Gioăng hở & cửa mở lâu làm tăng điện làm lạnh đáng kể,Best practice làm lạnh
,,Kho lạnh/tủ đông có rèm nhựa (PVC strip) & xả đá định kỳ không?,,TRUNG BÌNH — Đóng tuyết làm giảm hiệu suất,Bảo trì làm lạnh
