,,
,BỘ CÔNG CỤ QUẢN LÝ RÁC THẢI,
,,
,Ngành Dịch vụ F&B (nhà hàng · quán cà phê · foodservice)  ·  Đối tác môi trường: Eco Solutions Vietnam,
,,
,Dear Our Community  ×  Eco Solutions Vietnam  ·  Gói B (Module B)  ·  v1.0 · 2026,
,,
,BỘ CÔNG CỤ NÀY LÀ GÌ,
,"Bộ công cụ Gói B giúp doanh nghiệp F&B chuyển từ 'biết rác là vấn đề' sang 'thực sự làm gì với nó' — lập bản đồ, đánh giá, theo dõi và hành động.",
,"Tập trung vào rác thực phẩm, dầu/mỡ thải, nhựa dùng một lần & bao bì, phân loại tại nguồn và vệ sinh khu vực ăn uống.",
,Đi kèm gói 5–10 giờ tư vấn cùng chuyên gia Eco Solutions để phân tích sâu và đào sâu kết quả.,
,CÁCH SỬ DỤNG — 3 BUỔI CÙNG CHUYÊN GIA ECO SOLUTIONS,
,Buổi 1,Lập Bản đồ Rác thải & nhìn ra tổng chi phí thật. Bắt đầu Đánh giá Thực hành (các mục NGHIÊM TRỌNG trước).
,Buổi 2,Hoàn tất Đánh giá Thực hành & Đánh giá Nhà thầu. Thiết lập công cụ Theo dõi.
,Buổi 3,"Xây Kế hoạch 90 ngày, thống nhất mục tiêu giảm thiểu & mốc rà soát 30/60/90."
,CÁC TRANG (TABS) TRONG FILE,
,📖 Hướng dẫn,Cách dùng & trình tự 3 buổi cùng chuyên gia.
,🗺️ Bản đồ Rác thải,Liệt kê mọi dòng rác → tổng khối lượng & chi phí/tháng.
,✅ Đánh giá Thực hành,"40 câu hỏi, 6 nhóm, có tham chiếu pháp lý → điểm tuân thủ %."
,📦 Đánh giá Nhà thầu,Thẻ điểm 7 tiêu chí → Giữ lại / Có điều kiện / Thay thế.
,🍱 Theo dõi Food Waste,Theo dõi khối lượng & chi phí theo tuần → quy ra tiền/năm.
,📊 Theo dõi Hàng tháng,"Bảng 12 tháng: chi phí/kg, % thay đổi, tổng cả năm."
,🎯 Kế hoạch 90 ngày,9 hành động gợi ý + mốc rà soát 30/60/90.
,,
,"Cách chấm điểm trang Đánh giá:  ✓ = Đã làm đầy đủ (nhất quán, có hồ sơ)   △ = Làm một phần   ✗ = Chưa làm   N/A = Không áp dụng",
