,,,,,,,,
,90-DAY WASTE MANAGEMENT ACTION PLAN,,,,,,,
,,,,,,,,
,Built with your Eco Solutions expert based on your Assessment and Contractor Evaluation results. Focus on no more than 8–10 actions. Better to do 8 things well than 20 things poorly.,,,,,,,
,,,,,,,,
,PLAN INFORMATION,,,,,,,
,Business Name,,,,,,,
,Plan Created On,,,,,,,
,Eco Solutions Expert,,,,,,,
,Plan Owner (internal),Person responsible for overall implementation,,,,,,
,Next Review Date,,,,Recommended: 30 days from plan creation,,,
,,,,,,,,
,ACTION PLAN — Prioritised by Impact and Feasibility,,,,,,,
,#,"PRIORITY
TOPIC",SPECIFIC ACTION,"OWNER
(NAME)","START
DATE","TARGET
DATE","SUCCESS
MEASURE",STATUS
,1,🔴 Critical,Contractor compliance: Obtain a copy of waste contractor's current DONRE licence and verify it covers all waste types we generate,,,Day 7,Licence copy filed; waste types confirmed,Not Started
,2,🔴 Critical,Waste separation setup: Set up correctly labelled 3-bin separation system (organic / recyclables / general) at all waste generation points,,,Day 14,Bins in place; labels visible; staff know which bin to use,Not Started
,3,🔴 Critical,"Hazardous waste: Identify all hazardous waste streams (oils, chemicals, batteries). Arrange separate licensed collection",,,Day 21,Hazardous waste no longer mixed with general waste,Not Started
,4,🟡 Important,"Staff training: Conduct a 30-minute waste handling briefing for all staff. Cover separation rules, bin locations, and what NOT to put in general waste",,,Day 21,All staff can identify correct bin for each waste type,Not Started
,5,🟡 Important,Waste tracking: Begin recording monthly waste volumes and disposal costs in the Monthly Dashboard (Tab 6),,,Day 30,First month of data recorded,Not Started
,6,🟡 Important,Contractor documentation: Request disposal certificates/manifests from contractor for every collection. File and retain for 3 years,,,Day 30,Documentation received for at least 2 consecutive collections,Not Started
,7,🟢 Quick Win,Food waste (F&B): Begin weekly food waste tracking by source using Tab 5. Identify top waste source in Week 1,,,Day 7,Top food waste source identified,Not Started
,8,🟢 Quick Win,Food waste reduction: Implement FIFO storage checks daily. Designate a staff member responsible for daily stock rotation,,,Day 14,FIFO checklist completed daily for 2 consecutive weeks,Not Started
,9,🟢 Quick Win,Single-use plastic: Audit single-use plastic items in use. Identify 1–2 items to replace with reusable alternatives in 90 days,,,Day 45,At least 1 single-use plastic item replaced,Not Started
,10,,,,,,,
,11,,,,,,,
,12,,,,,,,
,,,,,,,,
,"REVIEW MILESTONES — Check In at 30, 60, and 90 Days",,,,,,,
,REVIEW,DATE,WHAT TO CHECK,,ACTIONS TO ADD / REMOVE,SIGN OFF,,
,"30-Day
Check-In",Day 30,Are bins in place and being used? Is contractor documentation arriving? Is food waste tracking underway?,,At least 3 critical actions completed,,,
,"60-Day
Check-In",Day 60,Is separation working? What do first 2 months of waste data show? Any contractor issues?,,Waste volume trend visible; cost per kg calculated,,,
,"90-Day
Final Review",Day 90,How many actions completed? What has changed in waste volumes and costs? What to carry into Month 4+?,,10% reduction in target waste stream; all critical actions done,,,
