,,,,,
,WASTE PRACTICES ASSESSMENT — 40 Questions Across All Waste Management Areas,,,,
,,,,,
,"Score each practice honestly.  ✓ = Fully in place (consistent, documented)  △ = Partially in place (started but incomplete)  ✗ = Not in place  N/A = Not applicable to your business",,,,
,,,,,
,TOPIC AREA,PRACTICE / QUESTION,"SCORE
(✓/△/✗/N/A)",BUSINESS RISK IF NOT IN PLACE,NOTES / EVIDENCE
,"♻️ WASTE
SEPARATION
& SORTING","Does your business separate waste into at least 3 categories: organic/food waste, recyclables, and general waste?",,CRITICAL — Mixed waste cannot be recycled or composted; illegal disposal risk; higher contractor costs,Quy định phân loại rác Nghị định 45/2022/NĐ-CP
,,"Are separation bins correctly labelled, in the right locations, and accessible to all staff?",,HIGH — Unlabelled bins mean separation doesn't happen in practice even if policy exists,Practical compliance
,,"Do you separate hazardous waste (oils, chemicals, batteries) from general waste?",,CRITICAL — Illegal to mix hazardous waste with general waste; environmental authority fine risk,Luật Bảo vệ Môi trường 2020
,,Is food/organic waste separated daily and stored correctly before collection?,,"HIGH — Improperly stored organic waste: odour complaints, pest risk, health authority inspection",Food safety hygiene regulation
,,Do all staff — including part-time and new hires — know which bin to use for each waste type?,,HIGH — Knowledge lives only with a few people; inconsistent sorting undermines entire system,Training & compliance
,,Is waste separation checked or verified by a supervisor at least weekly?,,"MEDIUM — Without supervision, compliance declines; contamination of recyclable streams increases",Internal management
,"🚛 DISPOSAL &
CONTRACTOR
COMPLIANCE",Do you use a licensed waste collection contractor for all non-general waste?,,CRITICAL — Unlicensed disposal is illegal; business owner is legally liable for improper disposal,Nghị định 08/2022/NĐ-CP môi trường
,,Do you hold a current copy of your contractor's waste disposal licence?,,HIGH — Cannot prove compliance in an inspection without this document,Legal documentation requirement
,,Does your contractor provide disposal certificates or manifests for hazardous waste?,,CRITICAL — Required by law for hazardous waste; failure = significant fine,Thông tư 02/2022/TT-BTNMT
,,Do you have a written service agreement with your waste contractor?,,HIGH — No contract = no recourse if contractor mishandles waste and your business is implicated,Contract protection
,,Have you verified that your contractor actually disposes of waste correctly (not dumping)?,,HIGH — Businesses have been fined when their contractor was found illegally dumping,Environmental liability
,,Do you track and retain waste collection receipts or records for at least 3 years?,,HIGH — Required for regulatory inspections; cannot demonstrate compliance without records,Record keeping requirement
,"🏭 WASTE
STORAGE &
FACILITIES","Is your waste storage area clean, covered, and separated from food preparation or production areas?",,CRITICAL — Health authority violation; cross-contamination risk; customer/staff complaints,Food safety & hygiene law
,,"Are waste bins and containers in good repair (no leaks, lids working)?",,MEDIUM — Leaking bins: leachate contamination; pest attraction; odour complaints,Facility hygiene standard
,,"Is there a designated, signed area for waste collection vehicle access?",,LOW — Undesignated access causes operational disruptions and safety incidents,Operational efficiency
,,"Are hazardous materials stored in a separate, ventilated, and labelled area before disposal?",,"CRITICAL — Fire risk, chemical reaction risk, regulatory violation",Hazardous material storage regulation
,,Is the waste storage area checked and cleaned at least weekly?,,MEDIUM — Neglected waste areas attract pests and cause odour complaints from neighbours,Environmental compliance
,"👷 STAFF
BEHAVIOUR &
TRAINING",Do all staff receive waste handling training as part of their induction?,,HIGH — New staff are the most common source of waste compliance failures,Training best practice
,,Is waste handling included in staff performance expectations or team briefings?,,MEDIUM — Waste practices not reinforced = gradual compliance drift,Management system
,,Is there a clear person responsible for waste management in your business?,,"HIGH — Without ownership, waste systems are managed by nobody",Role clarity
,,"Do staff report waste management problems (broken bins, wrong disposal, pest sightings) promptly?",,MEDIUM — Unreported issues compound; small problems become regulatory incidents,Safety culture
,,"Have you had any staff-related waste incidents (wrong disposal, contamination) in the past 12 months?",,"N/A if none — if yes, was a root cause identified and corrected?",Incident management
,"🍱 FOOD WASTE
REDUCTION
(F&B / Hospitality)","Do you track how much food waste you produce each week by source (prep, spoilage, customer plate waste)?",,HIGH — Cannot reduce what you don't measure; food waste typically 3–8% of revenue for restaurants,F&B operational efficiency
,,Do you have a process for ordering ingredients based on actual usage rather than estimate?,,HIGH — Over-ordering is the #1 driver of food waste; direct cost to food margin,Procurement practice
,,"Are perishables stored using FIFO (first in, first out) to minimise spoilage?",,HIGH — FIFO failures result in preventable spoilage; direct cost loss,Food safety & waste reduction
,,"Do kitchen staff have a process for using off-spec or near-expiry ingredients (e.g. specials, staff meals)?",,MEDIUM — Usable food discarded when repurposing process doesn't exist,Cost efficiency
,,Do you track plate waste (food left by customers) to identify over-portioning?,,MEDIUM — Systematic over-portioning wastes food and increases cost per cover,Menu & portion management
,,Have you taken any actions to reduce single-use plastic or packaging in the past 12 months?,,MEDIUM — Growing regulatory pressure; customer expectation; reputational risk,Single-use plastic regulation (incoming)
,"🏗️ POLLUTION
CONTROLS
(Supply Chain /
Manufacturing)",Do you have effluent treatment or containment for any liquid waste from your production process?,,CRITICAL — Untreated effluent into public sewers or waterways is a serious legal violation,"Luật Bảo vệ Môi trường 2020, QCVN 40:2011"
,,Is dust or particulate matter from your production process contained and managed?,,HIGH — Dust complaints from neighbours trigger environmental authority inspections,QCVN 05:2023/BTNMT air quality
,,Are noise levels from your operations within permissible limits at the boundary of your site?,,HIGH — Noise violations are a common trigger for regulatory complaints in industrial zones,QCVN 26:2010/BTNMT noise standard
,,Are chemicals and hazardous materials stored with secondary containment (bunding)?,,CRITICAL — Spill into drainage = environmental incident; major fine; operational shutdown risk,Hazardous chemical storage law
,,Do you have a spill response procedure and kit on site?,,"HIGH — Without a response plan, a spill escalates quickly and cleanup costs multiply",Emergency preparedness
,,,,,
,ASSESSMENT SCORE SUMMARY,,,,
,SECTION,✓ FULLY IN PLACE,△ PARTIALLY,✗ NOT IN PLACE,PRIORITY?
,Waste Separation & Sorting,,,,
,Disposal & Contractor Compliance,,,,
,Waste Storage & Facilities,,,,
,Staff Behaviour & Training,,,,
,Food Waste Reduction (F&B),,,,
,Pollution Controls (Supply Chain),,,,
