,,,,,
,👥 XÃ HỘI — SME Dịch vụ F&B,,,,
,,,,,
,Chấm điểm: 0 = Chưa có  |  1 = Một phần  |  2 = Đã có đầy đủ,,,,
,,,,,
,LĨNH VỰC,CÂU HỎI / THỰC HÀNH,"ĐIỂM
(0–2)",RỦI RO KINH DOANH NẾU KHÔNG LÀM,GHI CHÚ / BẰNG CHỨNG
,"🛒 Mua hàng có trách nhiệm
& Kiểm soát chất lượng
(ƯU TIÊN)",Bạn có danh sách nhà cung cấp ưu tiên / được phê duyệt với tiêu chí đánh giá cơ bản không?,,Chất lượng nguyên liệu không ổn định; sự cố an toàn thực phẩm; gián đoạn nguồn cung,
,,"Bạn có kiểm tra vệ sinh, độ tươi & chất lượng của nhà cung cấp trước khi nhận hàng không?",,"Khách bị ngộ độc, khiếu nại, hoặc vi phạm ATTP; có thể phải đóng cửa",
,,Bạn có hợp đồng hoặc thỏa thuận tối thiểu bằng văn bản với nhà cung cấp chính không?,,Không có bảo vệ pháp lý khi NCC thất bại; không có cơ sở đòi bồi thường về chất lượng,
,,Bạn có đánh giá nhà cung cấp định kỳ (VD hằng năm) dựa trên chất lượng & độ tin cậy không?,,Bị ràng buộc với NCC yếu kém; không cải thiện chuỗi cung ứng một cách hệ thống,
,"⚙️ Quản lý vận hành
hiệu quả
(ƯU TIÊN)","Các quy trình chính (sơ chế, phục vụ, vệ sinh khu vực) có được ghi lại dưới dạng hướng dẫn — dù đơn giản — không?",,Chất lượng dịch vụ không ổn định; chi phí đào tạo lại cao; lỗi khi thay nhân sự,
,,Nhân viên có mô tả vai trò rõ ràng và biết ai phụ trách việc gì không?,,"Nhầm lẫn, trùng lặp và lỗ hổng trong phục vụ; trách nhiệm không rõ ràng",
,,"Bạn có cách phát hiện khi lỗi, chậm trễ hoặc làm lại xảy ra thường xuyên không?",,Chi phí phòng tránh được âm thầm tích lũy; nhân viên bức xúc và nghỉ việc,
,,Quản lý có tổ chức họp / giao ca định kỳ (hằng ngày/tuần) không?,,Đội ngũ ít nắm thông tin; vấn đề phát hiện trễ; dịch vụ thiếu nhất quán giữa các ca,
,"👔 Thực hành lao động
& Tuân thủ
(ƯU TIÊN)",Tất cả nhân viên có hợp đồng lao động bằng văn bản tuân thủ Bộ luật Lao động VN không?,,Rủi ro tranh chấp lao động; bị phạt khi thanh tra; ảnh hưởng uy tín,
,,"Giờ làm, làm thêm & ngày nghỉ phép có được ghi nhận và lưu hồ sơ không?",,Tranh chấp về lương và nghỉ phép; bị phạt theo luật; bức xúc và nghỉ việc,
,,"Bạn có quy trình ATVSLĐ cơ bản về nguy cơ trong bếp, trơn trượt, hoặc PCCC không?",,Tai nạn lao động; trách nhiệm pháp lý; nguy cơ thương tích cho nhân viên và khách,
,,Có quy trình rõ ràng và dễ tiếp cận để nhân viên phản ánh / khiếu nại nội bộ không?,,Bức xúc không được giải quyết sẽ leo thang; khiếu nại bên ngoài; rủi ro mạng xã hội,
,,Bạn có tổ chức định hướng / đào tạo nhập môn cơ bản về an toàn & ứng xử cho nhân viên mới không?,,Nhân viên mới chưa nắm rủi ro; dễ xảy ra tai nạn hoặc sai phạm giai đoạn đầu,
,"🤝 Đa dạng
& Hòa nhập",Quyết định tuyển dụng có dựa trên năng lực & sự phù hợp thay vì đặc điểm cá nhân không liên quan không?,,Rủi ro phân biệt đối xử theo luật; hạn chế nguồn nhân tài; tổn hại uy tín,
,,"Mọi nhân viên — bất kể tuổi, giới tính, xuất thân — có được tiếp cận đào tạo & thăng tiến bình đẳng không?",,Tỷ lệ nghỉ việc cao ở nhóm yếu thế; bỏ lỡ cơ hội phát triển nhân tài,
,,,,,
,TỔNG ĐIỂM  (👥 XÃ HỘI),,0,Điểm tối đa: 30,
