,,,,,
,ESG QUICK SCAN — RESULTS DASHBOARD,,,,
,,,,,
,Service Sector  |  Dear Our Community  |  Module A,,,,
,,,,,
,SCORE SUMMARY BY PILLAR,,,,
,PILLAR,YOUR SCORE,MAX POSSIBLE,% SCORE,MATURITY LEVEL
,🌿 Environment,0,28,0%,🔴 Early Stage
,👥 Social,0,30,0%,🔴 Early Stage
,🏛 Governance,0,20,0%,🔴 Early Stage
,OVERALL TOTAL,0,78,0%,🔴 Early Stage — Focus on Priority Modules
,,,,,
,YOUR PRIORITY FOCUS AREAS (Next 3–6 Months),,,,
,Waste Generation & Handling,Environment,Reduce waste disposal costs and prevent regulatory fines,,
,Energy Consumption & Efficiency,Environment,Lower utility bills — typically 10–20% savings possible,,
,Responsible Sourcing & Quality Control,Social,Prevent food safety incidents and supply disruptions,,
,Productive Management,Social,Reduce errors and rework; improve service consistency,,
,Labor Practices & Compliance,Social,Protect against labour disputes and inspection penalties,,
,Data Compliance,Governance,Secure customer data and comply with Vietnamese regulations,,
,Legal Risk Management,Governance,Ensure all permits and licences are current and tracked,,
,,,,,
,,,,,
,YOUR 3–6 MONTH ACTION PLAN (Fill in based on your results),,,,
,PRIORITY AREA,SPECIFIC ACTION YOU WILL TAKE,OWNER (NAME),TARGET DATE,STATUS
