,,,,,
,BẢN ĐỒ NĂNG LƯỢNG — NGÀNH DỊCH VỤ F&B,,,,
,,,,,
,Phần A: nhập tiêu thụ điện & nước 12 tháng. Phần B: phân bổ chi phí điện theo hệ thống để tìm 'điểm nóng' tốn điện nhất.,,,,
,,,,,
,PHẦN A — TIÊU THỤ ĐIỆN & NƯỚC 12 THÁNG,,,,
,THÁNG,ĐIỆN (kWh),TIỀN ĐIỆN (VNĐ),NƯỚC (m³),TIỀN NƯỚC (VNĐ)
,Tháng 1,,,,
,Tháng 2,,,,
,Tháng 3,,,,
,Tháng 4,,,,
,Tháng 5,,,,
,Tháng 6,,,,
,Tháng 7,,,,
,Tháng 8,,,,
,Tháng 9,,,,
,Tháng 10,,,,
,Tháng 11,,,,
,Tháng 12,,,,
,CẢ NĂM,0,0,0,0
,Đơn giá điện bình quân (VNĐ/kWh),0,Chi phí điện bình quân/tháng (VNĐ),0,
,,,,,
,PHẦN B — PHÂN BỔ CHI PHÍ ĐIỆN THEO HỆ THỐNG,,,,
,HỆ THỐNG / HẠNG MỤC,% PHÂN BỔ,CHI PHÍ ƯỚC TÍNH/THÁNG (VNĐ),,
,Điều hòa không khí (HVAC),,0,,
,Hệ thống làm lạnh / kho lạnh,,0,,
,"Thiết bị bếp (bếp, lò, hấp)",,0,,
,Tủ lạnh / tủ đông / tủ mát,,0,,
,Chiếu sáng,,0,,
,Quạt thông gió / hút mùi,,0,,
,Bơm nước & máy nước nóng,,0,,
,Khu vực công cộng / biển hiệu,,0,,
,Khác,,0,,
,TỔNG CỘNG (nên = 100%),0%,0,,
