,,,,,
,🌿 MÔI TRƯỜNG — SME Sản xuất,,,,
,,,,,
,Chấm điểm: 0 = Chưa có  |  1 = Một phần  |  2 = Đã có đầy đủ,,,,
,,,,,
,LĨNH VỰC,CÂU HỎI / THỰC HÀNH,"ĐIỂM
(0–2)",RỦI RO KINH DOANH NẾU KHÔNG LÀM,GHI CHÚ / BẰNG CHỨNG
,"♻️ Rác thải sản xuất
& Xử lý
(ƯU TIÊN)","Bạn có phân loại và phân nhóm chất thải phát sinh trong sản xuất (phế liệu, bao bì, chất thải nguy hại) không?",,Bị phạt khi thanh tra môi trường; chi phí xử lý không kiểm soát; rủi ro uy tín,
,,Bạn có theo dõi khối lượng chất thải phát sinh theo tháng hoặc theo mỗi đợt sản xuất không?,,Không nhận diện được cơ hội giảm thải; rò rỉ chi phí ẩn,
,,Bạn có sử dụng đơn vị thu gom/xử lý chất thải có giấy phép cho chất thải không phải rác sinh hoạt không?,,Trách nhiệm pháp lý khi xử lý sai quy định; nguy cơ bị đình chỉ hoạt động,
,,Bạn đã xác định 3 nguồn phát sinh chất thải lớn nhất và có biện pháp giảm thiểu chưa?,,Chi phí chất thải luôn ở mức cao; tổn thất nguyên vật liệu tích lũy theo thời gian,
,,Nhân viên sản xuất / kho có được đào tạo về quy trình xử lý chất thải không?,,Phân loại không đồng bộ dẫn đến vi phạm và làm nhiễm bẩn dòng tái chế,
,"⚡ Tiêu thụ & Hiệu quả
năng lượng
(ƯU TIÊN)",Bạn có theo dõi mức tiêu thụ điện và nhiên liệu hằng tháng tại (các) nhà máy không?,,Năng lượng thường chiếm 10–30% chi phí sản xuất; không có dữ liệu = không kiểm soát,
,,"Máy móc, thiết bị có được tắt khi không sử dụng, và được thực thi một cách hệ thống không?",,Lãng phí năng lượng; giảm tuổi thọ thiết bị; bỏ lỡ cơ hội tiết kiệm chi phí,
,,"Trong 3 năm qua bạn có rà soát / nâng cấp hiệu quả năng lượng (đèn LED, động cơ hiệu suất cao) không?",,Vận hành với chi phí cao hơn đối thủ đã nâng cấp; bỏ lỡ các ưu đãi hỗ trợ,
,,Có người được phân công theo dõi mức tiêu thụ và chi phí năng lượng không?,,Không có trách nhiệm rõ ràng; vấn đề năng lượng âm thầm leo thang,
,"💧 Sử dụng &
Quản lý nước",Bạn có theo dõi lượng nước tiêu thụ và chi phí hằng tháng không?,,Rò rỉ không phát hiện; không phát hiện được mức tiêu thụ vượt mức; chi phí tăng đột biến,
,,"Quy trình sản xuất / vệ sinh có áp dụng biện pháp tiết kiệm nước (tuần hoàn, tái sử dụng) không?",,Hóa đơn nước cao; rủi ro tuân thủ ở vùng khan hiếm nước; bị khách mua đánh giá lạm dụng,
,,Bạn có nắm các quy định về sử dụng nước áp dụng cho ngành của mình không?,,Vô tình không tuân thủ; bị phạt và rủi ro về giấy phép,
,"🌡️ Khí thải &
Ô nhiễm","Bạn có nhận biết các nguồn phát thải trong vận hành (máy phát điện, môi chất lạnh, phương tiện) không?",,Áp lực quy định ngày càng tăng; yêu cầu công bố trong tương lai từ khách mua và cơ quan nhà nước,
,,"Bạn có biện pháp kiểm soát ô nhiễm cơ bản (xử lý nước thải, kiểm soát bụi, giới hạn tiếng ồn) không?",,Khiếu nại từ dân cư; thanh tra môi trường; bị phạt hoặc đình chỉ hoạt động,
,,,,,
,TỔNG ĐIỂM  (🌿 MÔI TRƯỜNG),,0,Điểm tối đa: 28,
