,THEO DÕI NGHĨA VỤ PHÁP LÝ & DỮ LIỆU

,"Lịch cuốn chiếu các nghĩa vụ tuân thủ dữ liệu & pháp lý: ngày rà soát, gia hạn, người phụ trách. Đặt nhắc lịch để không bỏ lỡ."

,HẠNG MỤC,TẦN SUẤT / HẠN,LẦN GẦN NHẤT,HẠN TIẾP THEO,NGƯỜI PHỤ TRÁCH,TRẠNG THÁI
,Chính sách quyền riêng tư — rà soát & cập nhật,Hằng năm,,,,
,Cơ chế & mẫu đồng ý — rà soát,Hằng năm,,,,
,Bản đồ dữ liệu (RoPA) — cập nhật,6 tháng/lần,,,,
,Đánh giá tác động xử lý DLCN (DPIA) — nếu thuộc diện,Khi có hoạt động mới,,,,
,Đánh giá tác động chuyển DLCN ra nước ngoài (CTIA),Khi có chuyển dữ liệu,,,,
,Hợp đồng xử lý dữ liệu (DPA) với bên thứ ba — rà soát,Hằng năm,,,,
,Rà soát & xóa dữ liệu hết thời hạn lưu,6 tháng/lần,,,,
,Diễn tập ứng phó sự cố (72 giờ),Hằng năm,,,,
,Đào tạo nhân viên về bảo vệ DLCN,Hằng năm,,,,
,Rà soát người/bộ phận phụ trách BVDLCN (DPO),Hằng năm,,,,
,Giấy phép kinh doanh & giấy phép ngành,Theo hạn,,,,
,"An ninh mạng: sao lưu, phân quyền, cập nhật bảo mật",Liên tục,,,,
