,,,,,
,ĐÁNH GIÁ THỰC HÀNH QUẢN LÝ NĂNG LƯỢNG — 40 câu hỏi · 6 nhóm,,,,
,,,,,
,Chấm điểm trung thực:  Đầy đủ   Một phần   Chưa có   N/A = Không áp dụng. Phần đào tạo chuyên sâu cùng chuyên gia VIoT.,,,,
,,,,,
,NHÓM,CÂU HỎI / THỰC HÀNH,ĐIỂM (Đầy đủ/Một phần/Chưa có/N/A),RỦI RO / CƠ HỘI NẾU CHƯA LÀM,THAM CHIẾU / GHI CHÚ
,Giám sát & Đo lường Năng lượng,DN có theo dõi tiêu thụ điện hằng tháng (đọc đồng hồ/hóa đơn) và so sánh giữa các kỳ không?,,CAO — Không đo = không kiểm soát; không phát hiện bất thường,Luật SDNLTK&HQ 2010 (sửa đổi 2025); ISO 50001
,,"DN có thiết bị giám sát điện năng (đồng hồ phụ, IoT) cho các khu vực/máy lớn không?",,CAO — Không có đồng hồ phụ thì không biết máy nào tốn điện nhất,ISO 50001 (đo lường)
,,DN có biết hệ thống/máy nào chiếm tỷ trọng điện lớn nhất (phân bổ chi phí) không?,,CAO — Không biết điểm nóng = đầu tư sai chỗ,Phương pháp khảo sát VEEP
,,"DN có giải pháp phát hiện thất thoát điện (rò rỉ, chạy không tải) không?",,TRUNG BÌNH — Thất thoát âm thầm làm tăng chi phí,Quản lý năng lượng
,,DN có theo dõi công suất đỉnh (kW) & hệ số công suất (cosφ) không?,,CAO — Vượt công suất đăng ký & cosφ thấp bị tính phụ phí,Biểu giá EVN
,,DN có đặt mục tiêu tiết kiệm điện (%) cho năm nay không?,,TRUNG BÌNH — Không mục tiêu = không cải thiện,ISO 50001 (mục tiêu)
,,DN có đối chiếu điện tiêu thụ với sản lượng (kWh/sản phẩm hoặc kWh/tấn) không?,,"CAO — Chỉ số cường độ cho thấy hiệu quả thật, không chỉ tổng kWh",ISO 50001 (EnPI); VEEP
,Hệ thống Sản xuất & Động cơ,Máy móc/thiết bị có được tắt khi không sử dụng & có quy trình tắt máy hệ thống không?,,CAO — Chạy không tải lãng phí điện đáng kể,Luật SDNLTK&HQ
,,Các động cơ/bơm/quạt có dùng biến tần (VSD/inverter) khi phụ tải thay đổi không?,,CAO — VSD tiết kiệm 20–50% cho tải biến đổi,Best practice (VSD)
,,Hệ thống khí nén có được kiểm tra & sửa rò rỉ định kỳ không?,,CAO — Rò rỉ khí nén thường lãng phí 20–30% điện máy nén,Best practice (khí nén)
,,Áp suất khí nén có được đặt ở mức tối thiểu cần thiết (không dư) không?,,TRUNG BÌNH — Mỗi 1 bar dư ≈ +7% điện máy nén,Tối ưu vận hành
,,Động cơ thay mới có đạt hiệu suất cao (IE3/IE4) không?,,TRUNG BÌNH — Động cơ hiệu suất thấp tốn điện suốt vòng đời,Nhãn năng lượng / MEPS
