,KẾ HOẠCH HÀNH ĐỘNG 90 NGÀY

,9 hành động khởi đầu đã gợi ý sẵn (có thể chỉnh sửa). Chuyên gia Data Protectify rà soát cùng bạn theo mốc 30/60/90 ngày.

,MỨC ƯU TIÊN,LĨNH VỰC,HÀNH ĐỘNG CỤ THỂ,NGƯỜI PHỤ TRÁCH,THỜI HẠN,TIÊU CHÍ HOÀN THÀNH / TRẠNG THÁI
,Quan trọng,Bản đồ dữ liệu,"Lập Bản đồ Dữ liệu: liệt kê toàn bộ DLCN đang thu thập (khách, loyalty, thanh toán, CCTV), nơi lưu, ai truy cập, thời gian lưu.",,Ngày 30,Bản đồ dữ liệu hoàn chỉnh
,Quan trọng,Đồng ý & marketing,Rà soát & cập nhật cơ chế đồng ý + chính sách quyền riêng tư; thêm cơ chế hủy nhận marketing (SMS/Zalo).,,Ngày 45,Đồng ý hợp lệ & có cơ chế hủy nhận
,Quan trọng,Ứng phó sự cố,Thiết lập quy trình ứng phó sự cố (thông báo 72 giờ) & phân công người phụ trách.,,Ngày 30,Quy trình sự cố ban hành & có người phụ trách
,Cần làm,An ninh,Phân quyền truy cập POS theo vai trò; bảo vệ dữ liệu thanh toán & CCTV; sao lưu.,,Ngày 60,Phân quyền & bảo vệ dữ liệu nhạy cảm
,Cần làm,Bên thứ ba,"Rà soát hợp đồng xử lý dữ liệu (DPA) với POS, phần mềm loyalty, app giao hàng, cloud.",,Ngày 60,Có DPA với các nền tảng chính
,Cần làm,DPO/DPIA,Xác định nghĩa vụ DPO/DPIA: kiểm tra có xử lý dữ liệu nhạy cảm/lượng lớn không (ảnh hưởng miễn trừ SME).,,Ngày 60,Biết rõ có/không phải có DPO/DPIA
,Làm ngay,Đào tạo,"Đào tạo nhân viên (thu ngân, phục vụ) về xử lý dữ liệu khách & bảo mật POS.",,Ngày 30,Buổi đào tạo đầu tiên hoàn thành
,Làm ngay,Lưu trữ,"Thiết lập lịch xóa dữ liệu hết thời hạn (CCTV, loyalty cũ, dữ liệu khách không dùng).",,Ngày 14,Lịch xóa dữ liệu được áp dụng
,Làm ngay,Phân công,Chỉ định người phụ trách bảo vệ dữ liệu (nội bộ hoặc thuê ngoài).,,Ngày 14,Đã có người phụ trách rõ ràng

,MỐC RÀ SOÁT CÙNG CHUYÊN GIA
,MỐC,TRỌNG TÂM,NGÀY HỌP,GHI CHÚ CỦA CHUYÊN GIA
,30 ngày,"Nền tảng: Bản đồ dữ liệu, đồng ý & chính sách, quy trình sự cố 72 giờ",,
,60 ngày,"Hệ thống: phân quyền & bảo mật, DPA bên thứ ba, xác định DPO/DPIA",,
,90 ngày,"Chuẩn hóa: đào tạo, lịch xóa dữ liệu, rà soát tuân thủ định kỳ",,
